"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2009-07-10",50.85,51.8,50.53,51.36,718800,43.92
"2009-07-13",52.37,54.64,52.37,54.61,1295800,46.7
"2009-07-14",54.2,54.2,52.5,53.49,919600,45.75
"2009-07-15",53.82,55.98,53.5,55.6,1171500,47.55
"2009-07-16",55.6,56.14,54.08,55.71,886600,47.64
"2009-07-17",55.65,56.5,52.61,54.44,1266700,46.56
"2009-07-20",56.76,60,55.04,57.11,3039800,48.84
"2009-07-21",57.32,57.32,53.73,54.88,1477000,46.93
"2009-07-22",55.19,56.15,54.38,54.94,994000,46.99
"2009-07-23",54.63,57.92,54.63,57.17,1237400,48.89
"2009-07-24",57.58,57.58,56.03,57.52,543600,49.19
"2009-07-27",57.5,59.53,56.96,59.53,711600,50.91
"2009-07-28",59.2,59.86,58.09,58.4,751300,49.94
"2009-07-29",58.23,58.93,57,57.25,632500,48.96
"2009-07-30",58.21,59.42,57.35,59.14,699500,50.58
"2009-07-31",58.96,59.81,58.04,58.32,1048000,49.88
"2009-08-03",59.32,59.32,57.66,58.14,904800,49.72
"2009-08-04",57.83,59.31,57.5,58.99,901500,50.45
"2009-08-05",59.99,60.25,58.79,60.09,1120700,51.39
"2009-08-06",60.36,61.08,58.66,59.04,1063400,50.49
"2009-08-07",60.34,61.99,59.46,61.19,831100,52.33
"2009-08-10",62.07,62.07,60.25,61.62,616500,52.7
"2009-08-11",61.29,61.61,59.39,59.62,622800,50.99
"2009-08-12",61.59,61.61,58.96,59.64,588000,51
"2009-08-13",60.06,60.48,58.9,60.27,642300,51.54
"2009-08-14",59.79,60.17,58.71,60.02,650300,51.33
"2009-08-17",58.87,59.57,57.61,57.75,689300,49.39
"2009-08-18",57.8,58.67,57.5,58.09,435800,49.68
"2009-08-19",57.32,60,57.32,58.44,870100,49.98
"2009-08-20",58.51,59.66,58.27,59.59,612400,50.96
"2009-08-21",59.86,61.15,59.76,60.44,885300,51.69
"2009-08-24",61.64,61.64,60.44,60.85,1069700,52.04
"2009-08-25",61.39,61.66,60,61.33,812200,52.45
"2009-08-26",61.3,62.47,60.55,61.46,708900,52.56
"2009-08-27",61.75,61.98,60.29,61.24,674900,52.37
"2009-08-28",61.46,61.85,60.31,61.64,816400,53.32
"2009-08-31",61.05,62.66,60.38,61.76,983100,53.43
"2009-09-01",61.61,62.55,58.37,58.62,1230800,50.71
"2009-09-02",58.43,59.26,56.82,56.91,819900,49.23
"2009-09-03",57.13,58.68,57.13,58.38,609200,50.5
"2009-09-04",59.11,59.13,57.6,58.46,391500,50.57
"2009-09-08",60.22,60.24,58.27,58.71,788500,50.79
"2009-09-09",58.75,59.42,58.3,59,791100,51.04
"2009-09-10",58.96,59.98,58.85,59.82,812100,51.75
"2009-09-11",59.98,60.76,59.25,59.33,866200,51.33
"2009-09-14",58.97,59.6,58.97,59.32,582000,51.32
"2009-09-15",59.54,62.87,59.4,62.34,939200,53.93
"2009-09-16",62.34,66.84,62.34,66.81,1349300,57.8
"2009-09-17",66.8,67.46,64.58,65.2,703000,56.4
"2009-09-18",65.36,66.4,64.81,66.04,880500,57.13
"2009-09-21",65.16,65.71,64.43,65.47,471600,56.64
"2009-09-22",66.15,66.33,64.5,65.18,618100,56.39
"2009-09-23",65.08,65.08,63.77,63.79,462300,55.18
"2009-09-24",64.25,65.21,62.7,63.16,568200,54.64
"2009-09-25",63.13,63.25,60.77,62.47,1074800,54.04
"2009-09-28",62.58,63.26,61.13,63.23,812800,54.7
"2009-09-29",63.3,64.1,62.15,62.47,559400,54.04
"2009-09-30",63.15,63.61,61.92,62.32,665900,53.91
"2009-10-01",61.98,62.79,60,60.17,1037100,52.05
"2009-10-02",59.28,61.11,59.09,60.14,1078100,52.03
"2009-10-05",60.44,61.22,60.21,60.44,1167900,52.29
"2009-10-06",61,62.39,60.72,62.31,998900,53.9
"2009-10-07",61.95,62.61,61.35,62.46,627800,54.03
"2009-10-08",63.32,63.39,62.52,63.15,578300,54.63
"2009-10-09",63.22,66.07,62.92,66.02,1280300,57.11
"2009-10-12",65.97,66.48,65.14,66.22,617000,57.29
"2009-10-13",66.02,66.46,64.8,65.89,844500,57
"2009-10-14",66.73,67.31,65.27,67.27,744100,58.2
"2009-10-15",66.98,67.48,66.07,67.19,573600,58.13
"2009-10-16",66.14,68.11,65.28,66.53,1429100,57.56
"2009-10-19",66.92,67.67,65.6,66.27,843000,57.33
"2009-10-20",68.56,69.89,65.87,67.32,1578000,58.24
"2009-10-21",67.29,69.39,66.07,66.27,1307200,57.33
"2009-10-22",66.52,68.98,65.97,68.96,1056900,59.66
"2009-10-23",68.94,69.63,67.89,68.77,627600,59.49
"2009-10-26",68.75,69.62,67.64,67.93,879800,58.77
"2009-10-27",67.83,68.9,66.6,66.68,899700,57.68
"2009-10-28",66.87,67.32,64.69,64.85,816600,56.1
"2009-10-29",66.48,66.48,64.58,65.67,1294600,56.81
"2009-10-30",65.39,65.64,62.25,62.85,1199200,54.37
"2009-11-02",63.37,65.07,62.38,63.28,884600,54.74
"2009-11-03",62.74,63.71,62.26,62.75,939300,54.28
"2009-11-04",63.09,63.9,60.71,60.95,1462000,52.73
"2009-11-05",61.25,62.68,60.39,62.57,1121200,54.13
"2009-11-06",61.85,63.25,61.51,62.83,665500,54.35
"2009-11-09",64.26,64.62,62.86,64.62,787000,55.9
"2009-11-10",64.65,64.65,63.01,63.54,501800,54.97
"2009-11-11",63.91,65,63.6,64.24,597200,55.57
"2009-11-12",64.11,64.3,62.91,63,636400,54.5
"2009-11-13",63.18,63.62,62.2,62.5,633800,54.07
"2009-11-16",62.92,63.98,62.51,63.4,1217800,54.85
"2009-11-17",63.46,63.64,62.59,63.51,1035300,54.94
"2009-11-18",63.32,64.96,63.17,64.87,954000,56.12
"2009-11-19",64.07,65.81,64,65.33,1746100,56.52
"2009-11-20",65.14,65.98,64.05,65.85,1145200,56.97
"2009-11-23",66.49,67.45,66.31,66.61,794500,57.62
"2009-11-24",66.44,66.62,65.55,66.42,950500,57.46
"2009-11-25",66.41,66.66,66,66.37,325400,57.42
"2009-11-27",64.44,65.23,63.83,63.85,420200,55.83
"2009-11-30",64.22,65.62,64,65.58,636700,57.34
"2009-12-01",65.77,66.01,64.9,65.65,926200,57.4
"2009-12-02",65.41,66.02,64.99,65.44,577300,57.22
"2009-12-03",66,66.3,62.77,62.83,830500,54.93
"2009-12-04",63.62,64.37,62.2,63.44,927500,55.47
"2009-12-07",63.37,63.99,61.22,61.43,1580800,53.71
