"","MON.Open","MON.High","MON.Low","MON.Close","MON.Volume","MON.Adjusted"
"2009-06-18",81.13,83.51,81.07,82.3,4974100,76.21
"2009-06-19",82.02,82.58,80.02,80.73,8895400,74.75
"2009-06-22",79.83,79.9,77.89,78.12,7386000,72.34
"2009-06-23",78.54,80.04,77.45,79.3,6519300,73.43
"2009-06-24",79.34,82.08,75.34,76.16,24385800,70.52
"2009-06-25",75.52,75.94,73.55,75.66,18173500,70.06
"2009-06-26",75.26,76.72,74.85,75.25,7631700,69.68
"2009-06-29",75.24,76.63,74.9,76.2,5125000,70.56
"2009-06-30",74.94,75.93,74.19,74.34,7074900,69.08
"2009-07-01",75.15,75.34,73.1,73.2,7301900,68.02
"2009-07-02",72.12,73.48,71.77,71.96,8642000,66.86
"2009-07-06",71.42,73.79,71.21,73.26,6499400,68.07
"2009-07-07",73.26,73.9,72.4,72.62,6410600,67.48
"2009-07-08",73.02,73.53,70.82,71.68,7662800,66.6
"2009-07-09",72.59,73.81,71.85,72.56,6390800,67.42
"2009-07-10",71.82,72.95,70.08,71.34,6354800,66.29
"2009-07-13",71.19,73.68,70.6,73.55,4573600,68.34
"2009-07-14",73.81,74.75,73.28,74.7,4932100,69.41
"2009-07-15",75.59,76.57,75.25,76.46,7197200,71.05
"2009-07-16",77.45,77.45,74.9,75.74,6313300,70.38
"2009-07-17",75.34,76.57,74.68,75.41,5967900,70.07
"2009-07-20",76.21,77,75.5,76.56,5442700,71.14
"2009-07-21",79.55,81.89,79.35,80.08,10226300,74.41
"2009-07-22",79.37,80.34,79.14,79.54,5246900,73.91
"2009-07-23",79.44,84.7,78.84,84.04,9739700,78.09
"2009-07-24",83.09,84.21,82.22,84.16,3791500,78.2
"2009-07-27",84.11,84.66,83.26,83.9,2855900,77.96
"2009-07-28",83.03,83.35,80.96,83.27,3679900,77.37
"2009-07-29",82.09,82.96,81.63,82.79,3339300,76.93
"2009-07-30",83.97,86.1,83.61,84.43,4913900,78.45
"2009-07-31",84.32,85.41,83.9,84,3757800,78.05
"2009-08-03",86.56,87.28,85.56,86.22,5121600,80.11
"2009-08-04",85.84,85.99,83.12,84.02,6148100,78.07
"2009-08-05",83.4,84.96,82.86,84.53,4018500,78.54
"2009-08-06",85.39,85.4,83.23,83.88,2968000,77.94
"2009-08-07",84.46,85.18,82.11,83.33,5012000,77.43
"2009-08-10",83.1,84.1,82.48,83.48,3213600,77.57
"2009-08-11",83.51,84.35,83.15,83.71,3726200,77.78
"2009-08-12",82.73,83.42,80.69,82.46,7771900,76.62
"2009-08-13",83.33,84.97,83,84.03,7188500,78.08
"2009-08-14",83.48,83.55,80.3,81.24,7712400,75.49
"2009-08-17",79.7,80.5,78.53,80.02,6208300,74.35
"2009-08-18",80.43,81.55,79.79,80.95,3264300,75.22
"2009-08-19",79.75,82.39,79.57,81.79,3129300,76
"2009-08-20",81.82,82.77,81.51,82.48,2736600,76.64
"2009-08-21",83.1,84,82.75,83.78,3856100,77.85
"2009-08-24",84.47,84.9,83.29,83.71,2621400,77.78
"2009-08-25",84.41,85.15,83.53,83.63,3949700,77.71
"2009-08-26",83.38,84.36,82.67,83.98,3181800,78.03
"2009-08-27",83.8,85,82.5,84.62,3939300,78.63
"2009-08-28",83.84,83.85,82.1,83,4801100,77.12
"2009-08-31",81.99,83.97,81.75,83.88,4440100,77.94
"2009-09-01",83.64,84.36,81.25,81.94,4892000,76.14
"2009-09-02",82.02,82.09,80.91,81.45,2796700,75.68
"2009-09-03",82.24,82.34,81,81.57,3828500,75.79
"2009-09-04",81.47,82.42,81.21,82.24,2357200,76.42
"2009-09-08",82.99,84.15,82.63,83.4,3545000,77.49
"2009-09-09",83.54,84.13,82.42,83.48,3633700,77.57
"2009-09-10",77.81,80,77.71,79.3,28019300,73.68
"2009-09-11",79.7,79.95,77.75,78.03,10394400,72.5
"2009-09-14",77.17,78.29,77.12,78.08,6495900,72.55
"2009-09-15",78.32,80.31,77.5,79.79,7188600,74.14
"2009-09-16",80.39,80.45,78.81,79.3,6462000,73.68
"2009-09-17",79.01,81.43,79.01,79.62,7486000,73.98
"2009-09-18",79.77,80.25,78.97,79.92,6003400,74.26
"2009-09-21",78.94,79,78.02,78.97,5168400,73.38
"2009-09-22",79.49,80.36,78.6,78.82,5994900,73.24
"2009-09-23",78.5,78.92,77.32,77.42,5807400,71.94
"2009-09-24",77.51,77.77,76.04,76.89,5779300,71.44
"2009-09-25",76.63,77.1,75.85,76.18,3701200,70.79
"2009-09-28",76.45,77.94,76.1,77.01,2775100,71.56
"2009-09-29",76.99,77.92,76.7,77.23,3645100,71.76
"2009-09-30",77.82,78.24,76.78,77.4,4809100,71.92
"2009-10-01",76.71,76.75,75.03,75.11,5850100,69.79
"2009-10-02",73.99,75.7,73.99,74.93,4721600,69.62
"2009-10-05",74.64,75.35,74,74.85,4499900,69.55
"2009-10-06",76.33,76.92,74.33,75.63,8126600,70.27
"2009-10-07",75.5,76.47,73.85,74.33,12373700,69.31
"2009-10-08",75.02,75.51,74.46,74.97,8702500,69.91
"2009-10-09",74.72,76.06,74.19,75.77,5152300,70.65
"2009-10-12",76.08,77.05,75.67,76.28,4261800,71.13
"2009-10-13",76.56,76.74,75.65,76.47,3278600,71.3
"2009-10-14",77.13,78.38,76.63,77.59,4789900,72.35
"2009-10-15",77.31,78.7,77.31,78.33,4450700,73.04
"2009-10-16",78.22,78.27,76.77,76.8,5974800,71.61
"2009-10-19",77.35,77.55,76.77,76.85,5888300,71.66
"2009-10-20",76.83,76.84,75.05,75.49,6773100,70.39
"2009-10-21",75.24,75.54,74.28,74.41,8501000,69.38
"2009-10-22",74.29,75.75,73.79,75.18,7409900,70.1
"2009-10-23",75.3,75.75,74.47,75.23,5428300,70.15
"2009-10-26",75.05,75.05,70.31,70.69,22618700,65.92
"2009-10-27",70.38,72.14,70,71.27,11466100,66.46
"2009-10-28",71.18,71.92,70.48,70.58,7505200,65.81
"2009-10-29",71.45,71.79,68.36,69.85,14419100,65.13
"2009-10-30",69.16,69.47,66.57,67.18,12436800,62.64
"2009-11-02",67.82,68.64,67.04,68.28,8155500,63.67
"2009-11-03",68,68.35,67.5,67.89,7699800,63.3
"2009-11-04",68.23,69.41,68.07,68.79,9228600,64.14
"2009-11-05",69.25,69.66,68.7,69.46,6230900,64.77
"2009-11-06",68.9,70.31,68.77,69.14,4344200,64.47
"2009-11-09",69.91,70.15,69.17,70,7382600,65.27
"2009-11-10",69.87,74.78,68.6,73.66,18805100,68.68
"2009-11-11",74.24,76.3,73.31,74.9,11859600,69.84
"2009-11-12",74.7,74.7,73.32,74.35,6515300,69.33
"2009-11-13",74.55,74.72,73.02,73.58,5534400,68.61
"2009-11-16",74.1,75.84,73.82,75.03,5053500,69.96
"2009-11-17",74.94,77.63,74.61,77.33,6788000,72.11
