"","NOV.Open","NOV.High","NOV.Low","NOV.Close","NOV.Volume","NOV.Adjusted"
"2007-12-24",73,74.22,72.34,74.01,1293300,69.44
"2007-12-26",74.23,75.28,73.27,74.97,2879300,70.34
"2007-12-27",75.48,75.48,73.51,73.75,3392200,69.2
"2007-12-28",73.9,75.28,73.8,74.37,2958800,69.78
"2007-12-31",74.88,74.88,73.25,73.46,2377400,68.93
"2008-01-02",74.25,75.62,72.73,75.36,4587900,70.71
"2008-01-03",75.74,77.84,75.63,76.81,4509500,72.07
"2008-01-04",75.6,76.29,74.16,74.31,4436700,69.72
"2008-01-07",74.95,75,70.59,71.93,4909500,67.49
"2008-01-08",72.3,74.67,71.15,71.15,5654100,66.76
"2008-01-09",71.07,73.61,70.41,72.84,4924400,68.34
"2008-01-10",72.29,72.57,69.9,72.15,5385600,67.7
"2008-01-11",71.63,72.75,69.08,69.83,4987600,65.52
"2008-01-14",70.5,72.75,70.5,72.6,3606100,68.12
"2008-01-15",71.72,71.72,68.32,68.32,5264300,64.1
"2008-01-16",66.7,67.35,62.2,64.14,7687900,60.18
"2008-01-17",65.5,65.72,58.41,60.03,8667700,56.32
"2008-01-18",59.42,61.29,55.81,59.55,9900800,55.87
"2008-01-22",52.58,60.42,52.51,58.12,9613300,54.53
"2008-01-23",55.44,58.73,53.62,58.36,10281400,54.76
"2008-01-24",59.47,65,59.02,64.78,10707400,60.78
"2008-01-25",66.37,67.91,62.29,63.57,7326500,59.65
"2008-01-28",63.57,65.81,61.49,65.09,4362500,61.07
"2008-01-29",65.63,65.9,62.88,64.11,5094800,60.15
"2008-01-30",63.73,65.85,62.24,63.8,5970400,59.86
"2008-01-31",61.91,61.91,59.85,60.2,11067100,56.48
"2008-02-01",60.63,63.01,60.15,62.69,5788500,58.82
"2008-02-04",63.67,65.59,62.67,64.32,4670700,60.35
"2008-02-05",62.53,63.44,61.13,62,6124900,58.17
"2008-02-06",63,64.15,57.06,57.85,10706400,54.28
"2008-02-07",57.56,59.99,55.8,58.7,9270700,55.08
"2008-02-08",59.4,60.42,56.51,57.27,8227500,53.74
"2008-02-11",57.5,60.32,56.35,60.1,4983800,56.39
"2008-02-12",60,62.51,59.94,60.82,7187100,57.07
"2008-02-13",61.61,64,61,63.9,4561800,59.96
"2008-02-14",64.52,64.98,62.67,62.96,4926300,59.07
"2008-02-15",62.55,63.23,60.57,62.04,3354800,58.21
"2008-02-19",63.89,65.41,63.5,64.16,4771900,60.2
"2008-02-20",63.72,66.33,62.74,65.72,6110300,61.66
"2008-02-21",65.69,66.5,63.54,63.79,6021000,59.85
"2008-02-22",64.42,65.03,61.92,64.85,4621400,60.85
"2008-02-25",65.01,66.35,63.82,66.09,4294300,62.01
"2008-02-26",65.76,67.35,64.94,66.91,4355100,62.78
"2008-02-27",66.37,66.88,64.51,64.95,4496200,60.94
"2008-02-28",65.39,66.83,64.98,65.91,3518800,61.84
"2008-02-29",65.8,65.8,62,62.3,4493400,58.45
"2008-03-03",62.17,64.15,60.6,62.04,3549300,58.21
"2008-03-04",61.33,62.6,60.19,61.79,5486700,57.98
"2008-03-05",63.44,64.23,62,64.11,4419200,60.15
"2008-03-06",63.66,65.09,62.3,62.44,4660600,58.59
"2008-03-07",61.98,61.98,58.82,59.96,5153100,56.26
"2008-03-10",60,60.2,58.16,58.28,5324200,54.68
"2008-03-11",59.43,61.5,58.91,61.36,5056800,57.57
"2008-03-12",61.5,62.4,59.82,60.4,4592200,56.67
"2008-03-13",60.13,61.93,57.42,61.57,5071700,57.77
"2008-03-14",62.05,62.2,58.8,60.17,4552100,56.46
"2008-03-17",58.08,58.86,54.02,55.67,7259600,52.23
"2008-03-18",57.18,58.39,56.12,57.98,6312300,54.4
"2008-03-19",57.71,57.88,52.23,52.25,9426800,49.02
"2008-03-20",51.54,52.25,49.44,51.49,11472100,48.31
"2008-03-24",51.61,54.75,51.44,53.87,5850800,50.54
"2008-03-25",53.88,56.74,53.88,56.4,5561000,52.92
"2008-03-26",56.22,59.05,56.11,57.55,6115400,54
"2008-03-27",58.42,58.45,56.33,56.5,3591700,53.01
"2008-03-28",56.19,58,55.91,56.75,2848400,53.25
"2008-03-31",56.74,58.95,56.6,58.38,5618500,54.78
"2008-04-01",58.39,60.29,56.8,60.17,5339900,56.46
"2008-04-02",60.5,62.7,59.4,62.22,4961000,58.38
"2008-04-03",61.99,64.9,60.6,64.44,8712300,60.46
"2008-04-04",64.41,67.43,64.41,66.24,10461200,62.15
"2008-04-07",67.87,67.87,65.75,66.19,10255100,62.1
"2008-04-08",65.85,68.46,65,67.83,6823800,63.64
"2008-04-09",67.84,70.5,67.64,69.64,8076500,65.34
"2008-04-10",69.37,70.18,68.5,70.16,5940700,65.83
"2008-04-11",69.19,69.49,67.17,67.48,4090300,63.31
"2008-04-14",67.5,69.63,67,69.52,5416300,65.23
"2008-04-15",69.76,70.35,68.25,69.91,4889900,65.59
"2008-04-16",71.25,73.01,69.8,72.69,5511700,68.2
"2008-04-17",72.33,73.51,70.42,71.86,4041500,67.42
"2008-04-18",72.67,75,71.57,74.05,5306300,69.48
"2008-04-21",74.98,75.83,72.85,75.6,15068600,70.93
"2008-04-22",75.35,75.75,73.5,74.48,4912100,69.88
"2008-04-23",74.91,75.25,72.46,73.62,5750600,69.08
"2008-04-24",73.01,73.6,70,72.91,5804000,68.41
"2008-04-25",72.26,74.46,72.15,73.19,4176100,68.67
"2008-04-28",73.67,73.67,70.12,71.37,5585100,66.96
"2008-04-29",70.27,70.64,68.63,68.79,5054800,64.54
"2008-04-30",68.64,70.24,66.09,68.45,11574300,64.23
"2008-05-01",68.25,68.74,64.14,65.75,7575700,61.69
"2008-05-02",66.45,67.36,65.31,67.2,5783900,63.05
"2008-05-05",67.56,67.81,66.05,66.73,5892300,62.61
"2008-05-06",66.51,69.58,66.45,69.05,5621500,64.79
"2008-05-07",70.18,70.28,67.51,68.88,5543500,64.63
"2008-05-08",69.65,75.25,69.1,75.14,11087900,70.5
"2008-05-09",74.93,78.1,74.5,77.41,9683600,72.63
"2008-05-12",77.14,77.26,75.05,76.05,4787600,71.36
"2008-05-13",76.73,76.73,73.74,76.25,5708700,71.54
"2008-05-14",75,76.3,73.77,73.98,5783300,69.41
"2008-05-15",75.1,76.22,73.2,76.22,6697900,71.52
"2008-05-16",78.3,79.46,77.07,79,6857300,74.12
"2008-05-19",79.65,79.84,78.07,78.59,6619100,73.74
"2008-05-20",79.8,81,78.61,80.87,6961100,75.88
"2008-05-21",82.08,86.89,81.9,83.28,15391000,78.14
"2008-05-22",84.33,85.97,80.83,81.96,8194700,76.9
"2008-05-23",82.4,83.94,79.36,81.35,5415300,76.33
"2008-05-27",81.4,81.58,78.76,80.64,4778500,75.66
"2008-05-28",79.95,83.3,78.82,83.15,5140100,78.02
"2008-05-29",82.92,83.12,80.28,80.88,6658100,75.89
"2008-05-30",81.6,84.2,81.6,83.32,6099700,78.18
"2008-06-02",83.15,86.25,82,83.8,5958900,78.63
"2008-06-03",83.94,85.13,81.5,81.73,6419000,76.69
"2008-06-04",81.72,83.55,80.8,81.27,4649000,76.25
"2008-06-05",82.58,86.17,81.77,85.91,5924500,80.61
"2008-06-06",87,89.25,83.39,83.57,7825900,78.41
"2008-06-09",84.38,87.81,83.33,86.56,5460500,81.22
"2008-06-10",86.52,86.52,82.04,83.48,5602800,78.33
"2008-06-11",84.25,85.36,82.52,83.36,5049500,78.21
"2008-06-12",82.15,82.31,80.1,80.44,7574900,75.47
"2008-06-13",80.95,83.9,80.26,83.16,5408400,78.03
"2008-06-16",83.89,84.85,83.12,83.55,4737200,78.39
"2008-06-17",84.1,85,82.95,84.87,4524100,79.63
"2008-06-18",84.16,85.38,82.5,84.65,5538100,79.43
"2008-06-19",85.62,86.48,83.35,84.46,6739800,79.25
"2008-06-20",84.82,86.46,83.56,84.49,6229800,79.27
"2008-06-23",86.09,92,84.83,91.55,10315100,85.9
"2008-06-24",90,91.15,88.52,89.23,6631100,83.72
"2008-06-25",89.74,91,85.51,89.96,8010500,84.41
"2008-06-26",90.49,92.38,87.76,89.36,6672500,83.84
"2008-06-27",90.43,91.02,88.09,88.41,8044000,82.95
"2008-06-30",88.72,89.85,88.05,88.72,5766400,83.24
"2008-07-01",88.51,91.18,86.72,90.43,7616100,84.85
"2008-07-02",90.93,92.7,85.49,85.58,7707700,80.3
"2008-07-03",85.73,86.89,81.04,85.12,5469600,79.87
"2008-07-07",84.48,87.14,81.27,82.57,6235700,77.47
"2008-07-08",81.17,82.22,77.11,80.22,9240200,75.27
"2008-07-09",80.78,83.21,78.26,78.3,5538700,73.47
"2008-07-10",79.24,82.17,77.8,82,5153300,76.94
"2008-07-11",82.57,84.5,81.43,83.12,6119000,77.99
"2008-07-14",85.54,88.04,84.04,87.59,7011900,82.18
"2008-07-15",87.99,87.99,82.12,82.27,6534500,77.19
"2008-07-16",81.39,83,78.63,79.53,8516700,74.62
"2008-07-17",80.21,82.17,75.08,76.5,9757900,71.78
"2008-07-18",77.07,80.85,75,78.95,6048300,74.08
"2008-07-21",80.38,82.85,77.24,82.67,5201500,77.57
"2008-07-22",82.24,84.25,78.61,79.5,5094400,74.59
"2008-07-23",79.06,79.49,73.41,75.77,8730500,71.09
"2008-07-24",76.02,76.96,70.95,72.68,12008300,68.19
"2008-07-25",73,75.81,72.42,74.74,5409300,70.13
"2008-07-28",75.35,77.35,74.06,74.11,5035300,69.54
"2008-07-29",73.87,76.6,73,75.05,8431000,70.42
"2008-07-30",75.48,83,74.91,82.88,11614600,77.76
"2008-07-31",81.5,81.85,78.45,78.63,7993700,73.78
