"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume","ICE.Adjusted"
"2008-06-26",126.52,126.95,122.01,122.01,1327400,121.27
"2008-06-27",121.21,124,116.72,118.8,1851500,118.08
"2008-06-30",119.01,119.61,113.99,114,1791400,113.31
"2008-07-01",113.05,116.38,111.21,115.25,1998000,114.55
"2008-07-02",116,116.39,108,108.1,1906300,107.44
"2008-07-03",108.44,109.58,103.2,106,1230700,105.36
"2008-07-07",105.52,109.29,101.57,103.71,1650700,103.08
"2008-07-08",103.8,106.67,100.45,106.25,2553900,105.6
"2008-07-09",106.25,106.6,95.12,95.39,2926100,94.81
"2008-07-10",95.5,95.5,80.91,85.3,8486100,84.78
"2008-07-11",82.5,90.61,80.2,88.4,4063200,87.86
"2008-07-14",90.15,91.19,85.11,85.11,2695000,84.59
"2008-07-15",84.97,90.15,82.23,86.4,3408300,85.88
"2008-07-16",86.41,93.74,85.2,93.74,2775500,93.17
"2008-07-17",95.7,95.7,87.5,90.41,2775900,89.86
"2008-07-18",89.29,90.41,86.73,89.45,1738000,88.91
"2008-07-21",88.99,91.7,87.58,89.5,1433500,88.96
"2008-07-22",89,97.55,87.16,97.21,2458300,96.62
"2008-07-23",96.4,97.2,92.01,95,3029100,94.42
"2008-07-24",94.6,97.39,90.74,91.02,2390300,90.47
"2008-07-25",91.92,104,90.89,102.9,3808300,102.28
"2008-07-28",103.48,104.87,98.31,99,2926100,98.4
"2008-07-29",99.68,104.3,97.75,104.3,1480300,103.67
"2008-07-30",104.5,104.99,100.23,104.19,2051900,103.56
"2008-07-31",101.93,103.52,99,99.8,1579200,99.19
"2008-08-01",101.07,101.07,91.6,96.2,2364700,95.62
"2008-08-04",98.49,98.49,83.8,85.44,3545500,84.92
"2008-08-05",87.11,89.43,85.15,89.12,2922500,88.58
"2008-08-06",89.11,89.3,84,84.6,2512000,84.09
"2008-08-07",83.5,87.82,83.5,84.5,2660900,83.99
"2008-08-08",83.65,87.91,82.46,87.7,1947800,87.17
"2008-08-11",87.25,87.55,84.56,86.78,1427700,86.25
"2008-08-12",84.5,86.7,82.45,83.19,1674400,82.68
"2008-08-13",82.31,84.45,80.76,82.74,2356000,82.24
"2008-08-14",81.87,88.27,81.87,87.21,1833500,86.68
"2008-08-15",87.84,88.95,85.58,86.95,2332500,86.42
"2008-08-18",86.9,86.99,82.26,82.54,2495700,82.04
"2008-08-19",82.83,83.95,81.38,83,2016700,82.5
"2008-08-20",82.69,85.75,82.51,85.57,1945000,85.05
"2008-08-21",84.61,85.82,83,84.15,1467500,83.64
"2008-08-22",85.35,88.37,85,88.1,1812400,87.56
"2008-08-25",87.92,88.76,84.76,84.95,1275300,84.43
"2008-08-26",84.99,85.39,83.22,84.74,908100,84.23
"2008-08-27",84.85,88.14,84,88,1169500,87.47
"2008-08-28",88.92,90.59,88.04,90.59,1302300,90.04
"2008-08-29",88.94,89.83,88.01,88.03,894600,87.5
"2008-09-02",89.27,93.65,89.27,91.97,3893900,91.41
"2008-09-03",92.34,93.65,89.23,92.79,3267900,92.23
"2008-09-04",92,94.95,90.29,90.5,2923200,89.95
"2008-09-05",90.29,97.83,89.92,97.77,2702000,97.18
"2008-09-08",100.47,102.48,94.5,99.57,2973800,98.97
"2008-09-09",98.89,99.34,88.36,88.36,3553700,87.82
"2008-09-10",89.22,92.25,87.11,90.63,2527400,90.08
"2008-09-11",88.01,92.72,85.7,92.42,2454300,91.86
"2008-09-12",90,90.9,84.58,90.9,2935500,90.35
"2008-09-15",84.93,87.77,77.39,77.65,3221600,77.18
"2008-09-16",73.15,76,68.08,75.97,4717900,75.51
"2008-09-17",73.69,73.69,66.62,66.67,3922600,66.27
"2008-09-18",68,75.88,61.37,75.26,4313800,74.8
"2008-09-19",86.61,86.61,76.1,86.61,3458400,86.08
"2008-09-22",87.75,88,75.77,75.77,1311100,75.31
"2008-09-23",77.66,80.5,73.82,77.5,1171600,77.03
"2008-09-24",79,79.02,75,75.1,737700,74.64
"2008-09-25",75.69,80.47,75.64,79.9,778700,79.41
