"","BCR.Open","BCR.High","BCR.Low","BCR.Close","BCR.Volume","BCR.Adjusted"
"2010-11-08",84.89,85.11,84.52,84.75,329200,82.68
"2010-11-09",84.96,86.56,84.96,85.93,967300,83.83
"2010-11-10",85.82,86.32,85.39,86.18,407500,84.08
"2010-11-11",85.81,86.29,85.43,85.87,380900,83.78
"2010-11-12",85.44,85.57,84.97,85.47,370700,83.39
"2010-11-15",85.66,85.83,84.98,85.07,364600,83
"2010-11-16",84.72,84.95,83.77,84.4,477900,82.34
"2010-11-17",84.46,84.93,84.05,84.25,371400,82.2
"2010-11-18",84.86,85.39,84.41,84.69,407300,82.62
"2010-11-19",85.01,85.01,84.23,84.74,663100,82.67
"2010-11-22",84.66,85.3,84.12,85.27,375900,83.19
"2010-11-23",84.71,85.14,84.3,84.85,491400,82.78
"2010-11-24",85.06,85.66,85.06,85.23,392800,83.15
"2010-11-26",84.89,85.28,84.71,85.01,148300,82.94
"2010-11-29",84.48,85.29,84.08,85.04,585300,82.97
"2010-11-30",84.33,85.18,84.28,84.85,579700,82.78
"2010-12-01",85.54,86.51,85.4,85.96,656200,83.86
"2010-12-02",85.9,86.8,85.9,86.33,867600,84.22
"2010-12-03",86.2,86.57,85.91,86.33,372400,84.22
"2010-12-06",86.17,86.48,85.85,86.05,234700,83.95
"2010-12-07",86.96,86.96,85.91,86,409800,83.9
"2010-12-08",85.94,86.59,85.7,85.84,351800,83.75
"2010-12-09",86.03,86.3,85.69,85.73,322500,83.64
"2010-12-10",85.9,86.6,85.77,86.54,559900,84.43
"2010-12-13",86.6,86.6,85.83,86.05,743000,83.95
"2010-12-14",87.5,91.09,87.43,89.57,2124500,87.39
"2010-12-15",89.38,91.73,89.27,91.34,1309400,89.11
"2010-12-16",91.29,94.92,91.2,94.79,1709700,92.48
"2010-12-17",94.55,95.72,93.48,95.72,1383400,93.39
"2010-12-20",95.39,95.39,93.56,93.96,749700,91.67
"2010-12-21",94.08,94.08,93.05,93.54,496800,91.26
"2010-12-22",93.46,93.61,93.18,93.3,562200,91.03
"2010-12-23",93.38,93.69,93.13,93.34,334800,91.06
"2010-12-27",93.62,93.62,93.1,93.15,340100,90.88
"2010-12-28",93.23,93.51,92.93,93.08,382600,90.81
"2010-12-29",93.17,93.49,92.7,92.7,461000,90.44
"2010-12-30",92.55,93.02,92.17,92.52,468400,90.26
"2010-12-31",92.32,92.71,91.73,91.77,355700,89.53
"2011-01-03",91.9,92.62,90.99,92.25,855600,90
"2011-01-04",92.29,92.29,91.26,91.98,803000,89.74
