"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2013-09-30",58.01,58.09,56.88,57.82,4407300,57.17
"2013-10-01",57.65,58.22,57.19,57.9,2600600,57.25
"2013-10-02",57.59,59.31,57.33,59.18,4150400,58.52
"2013-10-03",58.86,59.83,58.6,59.56,4244400,58.89
"2013-10-04",59,59.35,58.39,59.17,3550700,58.51
"2013-10-07",58.76,58.9,57.9,57.9,3345300,57.25
"2013-10-08",57.92,58.09,56.5,56.89,4211400,56.25
"2013-10-09",56.82,57.28,56.51,56.9,3466300,56.26
"2013-10-10",57.67,58.79,57.62,58.57,4396700,57.91
"2013-10-11",58.55,60.81,58.47,59.93,5680300,59.26
"2013-10-14",59.57,60.72,59.25,60.48,2891900,59.8
"2013-10-15",60.39,60.85,59.34,59.5,3602600,58.83
"2013-10-16",60.02,60.75,59.86,60.73,2993300,60.05
"2013-10-17",60.57,62.39,60.5,62.22,3405000,61.52
"2013-10-18",62.51,63.5,62.25,63.48,3813800,62.77
"2013-10-21",63.77,64.19,63.49,63.91,2985500,63.19
"2013-10-22",64.34,65.24,64.16,64.88,4264700,64.15
"2013-10-23",64.37,65.4,64.33,64.66,4215000,63.93
"2013-10-24",64.54,64.6,62.7,63.23,4248900,62.52
"2013-10-25",63.32,63.72,62.75,63.4,2206800,62.69
"2013-10-28",63.77,64.42,63.14,63.28,3067700,62.57
"2013-10-29",63.39,64.32,63.23,64.14,3213300,63.42
"2013-10-30",64.1,65.64,63.05,65.23,4687500,64.5
"2013-10-31",64.98,65.53,64.41,64.43,3786300,63.71
"2013-11-01",64.47,64.83,63.29,64.13,2746900,63.41
"2013-11-04",64.28,64.54,63.39,64.44,2728600,63.72
"2013-11-05",64.25,64.81,63.62,64.27,3184100,63.55
"2013-11-06",64.75,65.56,64.15,64.36,2979500,63.64
"2013-11-07",64.28,64.86,63.62,63.84,3084200,63.12
"2013-11-08",63.92,65.39,63.66,65.36,3252600,64.63
"2013-11-11",65.15,65.58,64.79,65.49,2437700,64.76
"2013-11-12",64.93,66.23,64.83,65.41,3229900,65.06
"2013-11-13",65.28,66.06,64.53,66.05,3427000,65.7
"2013-11-14",66.24,68.36,66.23,67.56,4088500,67.2
"2013-11-15",67.3,67.62,66.52,67.1,4106300,66.74
"2013-11-18",67.62,68.05,67.05,67.21,2723300,66.85
"2013-11-19",67.14,68.54,66.92,67.77,3246100,67.41
"2013-11-20",68.22,68.39,66.8,67.03,2923500,66.68
"2013-11-21",67.06,67.64,65.84,67.5,2933400,67.14
"2013-11-22",67.85,68.8,67.54,68.48,3108000,68.12
"2013-11-25",68.48,69.35,68.13,68.64,2808300,68.28
"2013-11-26",68.79,69.23,68.13,68.75,3094400,68.39
"2013-11-27",68.6,71,68.4,70.12,4526400,69.75
"2013-11-29",70.03,70.72,69.41,69.61,1688100,69.24
"2013-12-02",70,71.75,69.67,71.36,3900900,70.98
"2013-12-03",71.06,71.27,69.54,70.6,4299300,70.23
"2013-12-04",69.7,70.48,68.33,69.59,5377100,69.22
"2013-12-05",69.82,70.5,69.17,69.73,3978800,69.36
"2013-12-06",70.33,72.5,70,71.24,5174200,70.86
"2013-12-09",72.3,73.17,71.7,71.83,4297300,71.45
"2013-12-10",71.25,72.44,69.54,71.61,4233700,71.23
"2013-12-11",71.64,71.69,70.29,70.85,3890300,70.47
"2013-12-12",70.8,71.69,70.44,71.22,2773000,70.84
