"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted"
"2011-03-09",84.12,84.55,83.56,84.38,13306600,78.11
"2011-03-10",83.8,83.8,81.2,81.38,25996300,75.33
"2011-03-11",81.02,82.91,80.1,82.12,17607100,76.02
"2011-03-14",81.67,82.64,81.46,82.38,16383200,76.26
"2011-03-15",80.17,82.09,79.75,81.39,23191300,75.34
"2011-03-16",81.23,81.81,78.8,79.31,33396500,73.42
"2011-03-17",80.38,81.5,80.23,81.16,21941300,75.13
"2011-03-18",81.77,82.33,80.85,80.85,28895900,74.84
"2011-03-21",81.87,83.33,81.86,82.84,18207000,76.68
"2011-03-22",83.1,83.23,82.33,82.56,16209700,76.43
"2011-03-23",82.65,83,82,82.6,15390600,76.46
"2011-03-24",82.78,83.47,82.55,82.73,17009000,76.58
"2011-03-25",82.99,83.93,82.82,83.62,16497300,77.41
"2011-03-28",83.86,84.01,83.45,83.47,14608200,77.27
"2011-03-29",83.16,83.89,82.61,83.25,16277400,77.06
"2011-03-30",83.8,84.86,83.51,84.49,15770400,78.21
"2011-03-31",84.82,84.94,84.11,84.13,15317800,77.88
"2011-04-01",84.72,84.84,84.17,84.68,15531500,78.39
"2011-04-04",84.26,84.93,84.07,84.87,13096100,78.56
"2011-04-05",84.68,85.94,84.56,85.42,17122600,79.07
"2011-04-06",85.73,85.89,84.96,85.18,13339700,78.85
"2011-04-07",85.16,85.79,84.91,85.76,16006700,79.39
"2011-04-08",86,86.22,85.36,85.95,15943200,79.56
"2011-04-11",85.95,86.15,84.78,85.16,13026500,78.83
"2011-04-12",84.24,84.25,82.67,83.18,20728800,77
"2011-04-13",83.58,83.95,82.56,83.16,14489400,76.98
"2011-04-14",82.38,83.84,82.38,83.44,15717500,77.24
"2011-04-15",83.8,84.47,83.36,84.29,17022500,78.03
"2011-04-18",83.11,84,82.44,83.1,15107300,76.93
"2011-04-19",82.97,83.99,82.97,83.8,12770800,77.57
"2011-04-20",85.05,85.68,84.87,85.65,15447600,79.29
"2011-04-21",85.77,86.43,85.56,86.36,12797200,79.94
"2011-04-25",86.29,86.5,85.89,86.22,9852800,79.81
"2011-04-26",86.43,87.48,86.26,87.42,17908800,80.92
"2011-04-27",87.48,87.9,86.29,87.78,17755800,81.26
"2011-04-28",87.03,87.5,86.53,87.34,18705300,80.85
"2011-04-29",87.43,88,87.03,87.98,17352300,81.44
"2011-05-02",88.1,88.13,86.47,86.97,18651200,80.51
"2011-05-03",86.59,86.78,85.04,85.62,18417100,79.26
"2011-05-04",85.19,85.6,83.91,84.81,22867000,78.51
"2011-05-05",83.52,83.99,81.59,82.62,27491200,76.48
"2011-05-06",83.27,84.1,81.85,82.69,26314700,76.55
"2011-05-09",83.01,83.72,82.16,83.18,18254600,77
"2011-05-10",83.08,83.76,82.5,83.34,17695700,77.15
"2011-05-11",82.51,82.69,80.44,81.12,24192000,75.52
"2011-05-12",80.62,81.59,79.42,81.05,21853600,75.45
"2011-05-13",81.29,81.77,80.22,80.87,17628500,75.29
"2011-05-16",80.22,81.27,80.12,80.24,16435100,74.7
"2011-05-17",79.99,80.79,79.6,80.41,18067800,74.86
"2011-05-18",80.88,82.27,80.43,81.74,17957000,76.1
"2011-05-19",82.27,82.58,81.34,82.33,15229100,76.64
"2011-05-20",81.98,82.25,80.9,81.57,19003400,75.94
"2011-05-23",80.22,81.01,80.07,80.67,16288500,75.1
"2011-05-24",81.05,82.12,80.94,81.29,15687300,75.68
"2011-05-25",81.96,82.53,80.84,81.96,19347200,76.3
"2011-05-26",81.6,82.57,81.19,82.39,16873700,76.7
"2011-05-27",82.74,83.13,82.15,82.63,11949100,76.92
"2011-05-31",83.28,83.75,82.72,83.47,23630700,77.71
"2011-06-01",83.55,83.65,81.76,82.03,19550200,76.37
"2011-06-02",81.77,82.32,80.65,81.33,18152600,75.71
"2011-06-03",80.24,81.79,80.18,81.18,17281200,75.57
"2011-06-06",80.93,81.19,80.08,80.29,15954300,74.75
"2011-06-07",80.61,81.09,79.97,80,16188100,74.48
"2011-06-08",80.61,81.87,80.52,80.76,23567300,75.18
"2011-06-09",81.24,81.68,80.96,81.18,17665100,75.57
"2011-06-10",80.95,80.95,79.72,79.78,18965900,74.27
"2011-06-13",79.23,80.6,78.84,79.23,17854500,73.76
"2011-06-14",80.05,80.82,79.94,80.38,16443400,74.83
"2011-06-15",79.53,79.89,78.37,78.66,21713900,73.23
"2011-06-16",78.59,79.51,78.33,79.22,19037500,73.75
"2011-06-17",79.85,79.95,78.69,79.02,25441200,73.56
"2011-06-20",78.65,79.95,78.62,79.71,15836400,74.21
"2011-06-21",80.23,81.12,80.01,80.57,17897300,75.01
"2011-06-22",80.16,80.67,79.57,79.82,18599700,74.31
"2011-06-23",78.74,78.75,77.23,78.44,30032800,73.02
"2011-06-24",78.55,78.63,76.78,76.78,36292700,71.48
"2011-06-27",76.88,78.48,76.72,77.92,20606900,72.54
"2011-06-28",78.57,79.66,78.38,79.63,18421500,74.13
"2011-06-29",79.85,80.5,79.22,80.25,18899900,74.71
"2011-06-30",80.39,81.41,80.27,81.38,19942100,75.76
"2011-07-01",81.19,82.09,80.59,82.01,18050100,76.35
"2011-07-05",81.3,82.12,81.26,81.6,18859600,75.97
"2011-07-06",81.4,81.66,80.85,81.57,15042600,75.94
"2011-07-07",82.27,82.6,81.87,82.36,18379200,76.67
"2011-07-08",81.58,82.53,81.46,82.42,18336500,76.73
"2011-07-11",81.3,82.11,81.12,81.9,20717000,76.24
"2011-07-12",81.51,83.01,81.5,81.89,22639600,76.24
