"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"2011-09-29",62.27,62.95,61.11,62.52,5997000,57.89
"2011-09-30",61.56,65.55,61.5,62.95,8535500,58.29
"2011-10-03",64.39,65.59,63.24,63.27,7313700,58.59
"2011-10-04",62.28,62.71,58.95,61.28,10505700,56.75
"2011-10-05",61.05,63.23,60.47,63.01,7450700,58.35
"2011-10-06",63.08,64.12,62.15,64.06,5780600,59.32
"2011-10-07",64.51,64.62,62.06,63.09,4935000,58.42
"2011-10-10",64.1,65.34,63.66,65.27,3755100,60.44
"2011-10-11",64.85,65.26,63.89,64.44,4109800,59.67
"2011-10-12",64.85,65.07,63.23,64.07,5503400,59.33
"2011-10-13",63.73,64.28,62.68,63.75,4834400,59.03
"2011-10-14",64.2,66.88,64.03,66.86,6443000,61.91
"2011-10-17",66.75,67.39,65.95,66.2,5442300,61.3
"2011-10-18",65.49,65.88,63.6,65.5,7289000,60.65
"2011-10-19",65.33,65.49,61.85,62.32,7377300,57.71
"2011-10-20",61.35,62.69,60.78,61.64,7924900,57.08
"2011-10-21",62.74,63.37,62.08,62.63,6308300,58
"2011-10-24",63.27,64.07,62.86,63.82,5471600,59.1
"2011-10-25",63.48,65.74,62.56,64.84,8665200,60.04
"2011-10-26",65.67,66.6,64.77,65.79,8982500,60.92
"2011-10-27",66.32,66.95,64.68,66.06,8629600,61.17
"2011-10-28",63.98,68.74,63.73,68.49,9500300,63.42
"2011-10-31",66.97,67.87,66.29,66.83,8035700,61.89
"2011-11-01",64.81,67.04,63.09,65.63,8750400,60.77
"2011-11-02",66.51,68.02,65.63,66.62,8788000,61.69
"2011-11-03",67.56,69.54,67.1,69.33,11412500,64.2
"2011-11-04",68.71,69.45,68.25,69.38,5985700,64.25
"2011-11-07",69.86,72.29,69.69,72.13,9089500,66.79
"2011-11-08",71.9,72.35,70.91,71.61,7450300,66.31
"2011-11-09",71.03,72.42,69.24,69.28,8700800,64.15
"2011-11-10",69.79,69.82,67.93,68.83,5117300,63.74
"2011-11-11",69.49,71.09,69.47,70.49,4320600,65.28
"2011-11-14",70.36,70.96,68.88,69.48,3419700,64.34
"2011-11-15",69.27,70.24,68.68,69.64,3366600,64.49
"2011-11-16",69.1,69.11,67.8,67.99,4592200,62.96
"2011-11-17",67.18,67.72,65.83,66.24,5742500,61.34
"2011-11-18",66.53,66.63,64.96,65.46,3974700,60.62
"2011-11-21",64.71,65.64,64.12,65.29,5980800,60.46
"2011-11-22",65.97,66.81,65.37,65.79,4695900,60.92
"2011-11-23",65.2,65.4,63.9,64.21,3986900,59.46
"2011-11-25",64.28,64.9,63.63,63.77,2484700,59.05
