"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"2008-09-02",61.56,62.74,60.78,61.18,6767400,28
"2008-09-03",60.73,62.09,60.01,61.91,6183200,28.33
"2008-09-04",60.97,61.73,59.65,59.74,5866800,27.44
"2008-09-05",59.41,59.69,58.47,58.82,6877400,27.02
"2008-09-08",60,60.42,58.9,60.33,6336000,27.71
"2008-09-09",60.33,61.55,59.49,60.28,7009600,27.69
"2008-09-10",59.89,60.81,59.13,59.87,7390400,27.5
"2008-09-11",59.25,61.02,58.92,60.97,6643000,28.01
"2008-09-12",60.6,62.08,60,61.92,6585800,28.44
"2008-09-15",60.43,62.68,59.02,60.5,7155400,27.79
"2008-09-16",59.11,61.94,59.05,61.19,7264600,28.11
"2008-09-17",59.51,61.37,58.7,59.56,9780800,27.36
"2008-09-18",60.25,65.99,58.74,64.64,25221200,29.69
