"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2011-09-12",88.51,88.7,86.25,87.72,7486400,41.37
"2011-09-13",87.95,89.78,87.1,89.46,5570200,42.19
"2011-09-14",89.51,92.22,89.46,91.39,8185000,43.1
"2011-09-15",91.99,92.32,90.93,92.29,5005400,43.52
"2011-09-16",91.77,93.73,91.77,93.64,8423800,44.16
"2011-09-19",92.53,93.55,92.29,93.32,5026000,44.01
"2011-09-20",93.43,94.89,93.35,93.96,4885400,44.31
"2011-09-21",93.89,93.94,89.98,89.99,8199000,42.44
"2011-09-22",88.83,89.24,85.73,87.41,12041200,41.22
"2011-09-23",87.37,89.25,87,88.92,6220600,41.93
"2011-09-26",89.59,91.32,89.55,90.89,6402400,42.86
"2011-09-27",92.06,92.86,90.76,91.07,5937400,42.95
"2011-09-28",90.24,91,88.63,88.73,7382200,41.84
"2011-09-29",89.6,90.29,88.2,89.54,5136800,42.22
"2011-09-30",89.03,89.99,88.63,88.68,5520800,41.82
"2011-10-03",88.36,89.84,88.23,88.3,5884400,41.64
"2011-10-04",87.44,88.57,86.39,88.42,6600000,41.7
"2011-10-05",88.39,89.63,87.57,89.5,6267800,42.2
"2011-10-06",89.69,90.21,89.04,90.19,5129000,42.53
"2011-10-07",90.64,91.25,90.06,90.41,3892200,42.63
"2011-10-10",91.21,91.91,90.5,91.74,3497000,43.26
"2011-10-11",91.59,91.61,90.15,90.35,4008000,42.61
"2011-10-12",90.49,92.08,90.49,91.22,3683000,43.02
"2011-10-13",91.2,91.68,90.66,91.11,3413400,42.96
"2011-10-14",91.86,92.46,91.63,92.34,2951400,43.54
"2011-10-17",91.9,92.58,90.83,90.94,3115600,42.88
"2011-10-18",90.6,92.82,90.37,92.34,4034200,43.54
"2011-10-19",92.06,92.88,91.95,92.18,3479600,43.47
"2011-10-20",92.18,92.99,91.42,91.62,3796400,43.2
"2011-10-21",91.85,93.92,91.71,93.92,6095600,44.57
"2011-10-24",93.63,93.63,90.92,91.24,7195200,43.3
"2011-10-25",91.25,91.3,89.75,89.98,6079600,42.7
"2011-10-26",90.8,91.27,88.74,90.54,7540800,42.97
"2011-10-27",91.54,91.79,86.42,91.33,10546400,43.34
"2011-10-28",90.41,91.74,89.86,91.22,4726800,43.29
"2011-10-31",90.78,91.59,90.35,90.37,5125200,42.89
"2011-11-01",88.93,89.87,88,88.09,7302600,41.8
"2011-11-02",89,89.1,87.65,87.94,4431200,41.73
"2011-11-03",88.22,88.78,87.62,88.52,6782200,42.01
"2011-11-04",88.02,88.22,87.15,88.06,5767400,41.79
"2011-11-07",88.46,89.22,87.02,88.45,4856800,41.98
"2011-11-08",88.92,89.6,88.5,89.44,5662200,42.45
"2011-11-09",88.1,88.49,87.15,87.45,5402800,41.5
"2011-11-10",88.02,88.38,87.19,88.14,3877600,41.83
"2011-11-11",88.53,89.4,88.53,89.17,2960800,42.32
"2011-11-14",88.67,89.1,88.13,88.65,2543800,42.07
"2011-11-15",88.76,89.11,88.37,88.79,4131400,42.14
"2011-11-16",88.33,89.77,88,88.64,4620800,42.07
"2011-11-17",88.27,88.72,87.46,88.04,4001200,41.78
"2011-11-18",88.46,89.1,88.16,88.61,3874000,42.05
"2011-11-21",87.52,88.23,86.99,87.44,4075200,41.5
"2011-11-22",87.77,89.09,87.59,88.2,4613200,41.86
"2011-11-23",87.46,87.86,86.19,86.48,4408600,41.04
"2011-11-25",86.59,87.41,86.43,86.73,1153200,41.16
"2011-11-28",88.1,88.6,87.8,88.28,3898600,41.89
"2011-11-29",88.67,89.89,88.47,89.7,4760600,42.57
