"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"2009-07-17",177.69,180.09,177.69,179.79,308000,158.53
"2009-07-20",181.49,185.3,180.07,184.82,545000,162.97
"2009-07-21",181.52,184.93,178.4,184.14,859300,162.37
"2009-07-22",181.15,185.83,179.48,185.51,767200,163.58
"2009-07-23",186,199.63,185.68,197.9,1371100,174.5
"2009-07-24",196.35,197.83,189.65,192.18,685500,169.46
"2009-07-27",191.31,193.5,189.37,190,568700,167.54
"2009-07-28",189.49,192.81,187.63,190.16,526500,167.68
"2009-07-29",189,190.5,188.39,189.24,327800,166.87
"2009-07-30",189.8,195.37,189.8,191.36,466600,168.74
"2009-07-31",192.74,192.74,189.25,190.54,276600,168.01
"2009-08-03",192.1,195.62,192.1,195.62,411500,172.49
"2009-08-04",194.37,198.99,192.87,198.6,517500,175.12
"2009-08-05",197.77,201.27,196.59,200.63,461800,176.91
"2009-08-06",200.37,203.59,196.2,197.89,547300,174.5
"2009-08-07",198.28,203.45,198.05,202.46,315400,178.52
"2009-08-10",203.5,203.5,197,198.77,210300,175.27
"2009-08-11",198.77,200.37,195.6,198.76,467500,175.26
"2009-08-12",198.5,203.98,198.04,201.08,432700,177.31
"2009-08-13",201.61,203.79,197.44,198.59,326200,175.11
"2009-08-14",199.85,200.95,196.6,197.77,310500,174.39
"2009-08-17",192.73,196.79,188.5,188.96,686800,166.62
"2009-08-18",191.42,197.31,189.35,196.17,384000,172.98
"2009-08-19",193.33,197.82,193.05,196.64,279900,173.39
"2009-08-20",195.58,207,195.58,206.23,612100,181.85
"2009-08-21",208.58,210.02,206.27,207.5,383000,182.97
"2009-08-24",209.5,210.53,204.1,204.8,446500,180.59
"2009-08-25",203.6,204.42,200.68,202.36,536600,178.44
"2009-08-26",201.99,204.52,198.82,199.2,431300,175.65
"2009-08-27",199.3,200.66,196.36,200.25,419900,176.58
"2009-08-28",200.96,203.78,200.15,201.55,434900,177.72
"2009-08-31",197.3,200.01,196.82,199.57,290600,176.66
"2009-09-01",199.8,202.86,193.45,194.12,524900,171.84
"2009-09-02",191.94,195.32,191.68,192.38,238400,170.3
"2009-09-03",193.1,197.14,193.1,197.14,267800,174.51
"2009-09-04",197.14,197.95,194.16,195.45,268100,173.01
"2009-09-08",198.84,199.73,197.1,199.36,243300,176.47
"2009-09-09",199.36,202.73,198.46,202.01,224500,178.82
"2009-09-10",201.84,202.6,199.25,201.68,236200,178.53
"2009-09-11",202.22,203,200.06,201.77,282800,178.61
"2009-09-14",199.41,201.29,197.61,201.23,216100,178.13
"2009-09-15",201.23,202.31,199.57,200.67,290600,177.63
"2009-09-16",202.95,207,201.78,206.96,386200,183.2
"2009-09-17",204.01,207.65,202.29,202.43,323800,179.19
"2009-09-18",202.32,207.28,202.32,207.19,413700,183.41
"2009-09-21",205.82,207,203.67,204.32,278200,180.86
"2009-09-22",205.55,208.74,205.55,208.2,204200,184.3
"2009-09-23",213.66,220.17,210.5,211.03,739700,186.8
"2009-09-24",212.19,214.04,203.81,206.25,446300,182.57
