"","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume","BF.B.Adjusted"
"2011-10-04",66.23,69.5,66.19,69.41,628000,44.84
"2011-10-05",68.94,69.65,68.51,69.58,455600,44.95
"2011-10-06",69.98,71.97,69.78,71.95,458600,46.48
"2011-10-07",72.37,73.11,71.71,71.97,440600,46.5
"2011-10-10",73.43,73.69,72.78,73.55,259800,47.52
"2011-10-11",73.45,73.98,73,73.71,285800,47.62
"2011-10-12",74,74.28,72.82,72.92,399000,47.11
"2011-10-13",72.8,73.34,72.54,73.04,271000,47.19
"2011-10-14",73.9,74.22,73.4,74.12,258900,47.89
"2011-10-17",73.72,73.92,71.87,72.04,315800,46.54
"2011-10-18",71.88,74.62,71.88,74.02,338000,47.82
"2011-10-19",74.11,75.43,73.76,74.57,395400,48.18
"2011-10-20",74.85,75.04,73.69,74.22,320400,47.95
"2011-10-21",75.27,76.69,74.88,76.34,406000,49.32
"2011-10-24",76.87,76.87,74.99,75.59,371400,48.84
"2011-10-25",75.6,75.6,73.45,73.59,336900,47.54
"2011-10-26",73.72,75.34,73.7,75.2,281000,48.58
"2011-10-27",76.63,77.56,75.31,76.3,451500,49.29
"2011-10-28",76.19,77.06,75.49,76,334800,49.1
"2011-10-31",75.58,76.11,74.62,74.73,292000,48.28
"2011-11-01",72.76,74.13,72.66,72.8,310800,47.03
"2011-11-02",73.27,73.93,72.73,73.76,181400,47.65
"2011-11-03",74.16,75.27,73.52,75.19,202000,48.58
"2011-11-04",74.24,74.98,73.5,74.57,298200,48.18
"2011-11-07",74.98,75.18,73.67,74.73,188400,48.28
"2011-11-08",74.78,76,74.65,75.96,295000,49.08
"2011-11-09",74.34,74.73,73.02,73.14,265200,47.25
"2011-11-10",74.23,74.32,73.18,74.04,202500,47.83
"2011-11-11",75.07,76.27,74.74,76.19,206400,49.22
"2011-11-14",76.21,76.21,75,75.5,156600,48.78
"2011-11-15",75.09,76.64,75.05,76.45,180200,49.39
"2011-11-16",76.03,76.27,75.23,75.45,410800,48.75
"2011-11-17",75.08,75.33,74.01,74.54,248400,48.16
"2011-11-18",75,75.47,74.69,75.01,351900,48.46
"2011-11-21",74.06,74.9,73.88,74.43,463000,48.09
"2011-11-22",74.5,74.89,74.19,74.68,398000,48.25
"2011-11-23",74.05,74.35,73.28,73.9,554200,47.74
"2011-11-25",74.13,74.46,73.31,73.86,211000,47.72
"2011-11-28",75.49,76.75,75.49,76.66,419700,49.53
"2011-11-29",76.6,77.65,76.35,76.77,376800,49.6
"2011-11-30",78.63,79.81,78.5,79.81,607000,51.56
"2011-12-01",79.71,79.92,78.28,79.56,680400,51.4
"2011-12-02",78.53,78.71,77.25,78.43,682800,50.89
"2011-12-05",79.82,81.5,79.09,80.57,639200,52.28
"2011-12-06",80.62,81.46,80.27,80.88,544200,52.48
"2011-12-07",80.75,81.43,79.98,80.74,2151400,52.39
