"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2008-01-10",60.17,61.48,59.89,61.15,2253700,52.27
"2008-01-11",60.69,60.69,58.67,59.18,1463700,50.59
"2008-01-14",59.94,61.51,59.72,61.29,1603300,52.39
"2008-01-15",60.55,60.55,57.85,57.85,1781100,49.45
"2008-01-16",57.4,59.01,56.13,58.01,2290600,49.59
"2008-01-17",58.07,59.1,55.36,55.45,1901400,47.4
"2008-01-18",55.79,56.75,54,55.06,2483700,47.07
"2008-01-22",53.5,57.11,53.2,56.02,4256900,47.89
"2008-01-23",54.65,56.8,50,56.58,3188000,48.37
"2008-01-24",56.78,56.78,53.9,56.18,2555100,48.03
"2008-01-25",56.76,58.7,56.56,56.77,1834200,48.53
"2008-01-28",56.95,57.42,56.09,57.18,1160900,48.88
"2008-01-29",57.64,57.75,56.4,57.49,1094300,49.15
"2008-01-30",57.4,59.45,57.12,57.99,1448800,49.57
"2008-01-31",57.19,57.81,56.26,56.9,2327800,48.64
"2008-02-01",56.93,58.28,56.56,58,2398800,49.58
"2008-02-04",58.07,58.84,57.82,58.19,1130600,49.74
"2008-02-05",57.6,58.24,55.63,55.63,1295600,47.56
"2008-02-06",55.99,56.08,54.57,54.77,1309400,46.82
"2008-02-07",54.36,54.98,53.85,54.57,1830500,46.65
"2008-02-08",54.08,54.84,53.96,54.13,936500,46.27
"2008-02-11",54.97,54.97,53.74,54.52,901000,46.61
"2008-02-12",55.16,56.43,55,55.58,1440400,47.51
"2008-02-13",55.8,59.16,55.8,58.92,2322800,50.37
"2008-02-14",59.05,60.1,58.29,58.41,2283000,50.18
"2008-02-15",58.07,58.48,57.24,58.32,1565700,50.1
"2008-02-19",59.11,60.23,58.57,58.79,1421900,50.51
"2008-02-20",58.16,58.83,57.12,58.68,1615700,50.41
"2008-02-21",59.01,59.21,57.26,57.45,1134000,49.35
"2008-02-22",57.57,57.91,56.3,57.67,809800,49.54
"2008-02-25",58.07,58.69,57.23,58.52,1124800,50.27
"2008-02-26",58.35,59.41,58.1,58.73,1256900,50.45
"2008-02-27",58.46,59.32,58.01,58.45,914100,50.21
"2008-02-28",58.01,58.38,56.91,57.04,1411000,49
"2008-02-29",56.51,56.74,54.53,54.71,1569100,47
"2008-03-03",54.38,55.04,53.98,54.56,1422600,46.87
"2008-03-04",54.02,54.26,52.91,53.68,2271000,46.12
"2008-03-05",54.04,55.09,53.74,54.23,1454600,46.59
"2008-03-06",54.2,54.32,52.96,52.99,1421100,45.52
"2008-03-07",52.55,53.3,51.62,52.04,1420200,44.71
"2008-03-10",52.04,52.64,51.44,51.75,2099800,44.46
"2008-03-11",52.81,53.52,51.85,53.52,1949000,45.98
"2008-03-12",53.53,55.09,53.2,53.98,1524400,46.37
"2008-03-13",53.13,53.97,52.15,53.74,1237400,46.17
"2008-03-14",53.87,54.2,51.79,52.65,1168600,45.23
"2008-03-17",51.75,53.69,51.35,53.08,1590700,45.6
"2008-03-18",53.78,55.31,53.09,55.31,1531700,47.52
"2008-03-19",55.92,55.92,53.75,53.85,1698400,46.26
"2008-03-20",53.14,54.63,53.14,54.43,1501800,46.76
"2008-03-24",54.77,56.7,54.59,56.37,1521200,48.43
"2008-03-25",56.28,57.5,55.96,57.12,1401500,49.07
"2008-03-26",56.9,56.97,55.97,56.21,1628000,48.29
"2008-03-27",56.59,57.62,56.07,56.8,1909900,48.8
"2008-03-28",57,57.94,56.64,57.03,2000700,48.99
"2008-03-31",57.13,57.73,56.8,57.42,1571900,49.33
"2008-04-01",58.45,59.72,58.17,59.7,1464600,51.29
"2008-04-02",59.64,60.35,59.22,59.75,1303300,51.33
"2008-04-03",59.4,59.6,58.59,59.04,1143100,50.72
"2008-04-04",59.27,60.42,58.96,60.02,1210300,51.56
"2008-04-07",60.4,60.64,59.16,59.41,893700,51.04
"2008-04-08",58.91,59.29,58.49,59.15,796500,50.81
"2008-04-09",59,59.26,57.51,57.72,1112100,49.59
"2008-04-10",57.74,58.62,56.93,58.2,1341900,50
"2008-04-11",57.5,57.68,56.64,56.86,1096500,48.85
"2008-04-14",56.47,57.16,56.42,56.61,592300,48.63
"2008-04-15",56.66,57.12,56.2,56.77,585400,48.77
"2008-04-16",57.15,59.3,57.02,59.13,1356000,50.8
"2008-04-17",58.85,59.49,58.61,59.11,1380500,50.78
"2008-04-18",60.21,61.49,59.71,61.35,1239500,52.7
"2008-04-21",61.14,61.17,60.45,60.69,1479400,52.14
"2008-04-22",60.48,61.37,60.17,60.99,1304400,52.4
"2008-04-23",58.11,58.87,54.26,55.43,4478500,47.62
"2008-04-24",55.32,56.79,55.1,56.27,2086200,48.34
"2008-04-25",56.4,56.82,54.86,56.03,1623100,48.13
"2008-04-28",55.86,55.86,54.7,55.3,1825800,47.51
"2008-04-29",55.12,55.53,54.72,54.92,1027300,47.18
"2008-04-30",55.31,56,54.1,54.23,2086200,46.59
"2008-05-01",54.39,56.13,54.19,55.87,2132400,48
"2008-05-02",56.52,57.54,55.87,56.81,1853700,48.8
"2008-05-05",56.12,56.65,55.3,55.59,2554600,47.76
"2008-05-06",55.57,56.62,54.68,55.78,2017100,47.92
"2008-05-07",55.34,56.13,54.37,54.44,2174200,46.77
"2008-05-08",54.53,55.09,53.97,54.45,1803800,47.03
"2008-05-09",53.85,54.38,53.71,54.11,1138500,46.73
"2008-05-12",54.02,55.74,53.91,55.44,1427300,47.88
"2008-05-13",55.48,55.7,54.7,55.35,2712800,47.8
"2008-05-14",55.49,56.73,55.35,56.11,1268300,48.46
"2008-05-15",56.49,57.29,55.89,57.29,1363000,49.48
"2008-05-16",57.38,57.94,56.75,57.36,1441700,49.54
"2008-05-19",57.22,58.52,57.22,57.83,1641900,49.95
"2008-05-20",57.8,58.34,57.4,57.95,2728100,50.05
"2008-05-21",58.11,58.84,57.09,57.4,1619700,49.58
"2008-05-22",57.56,58.63,57.46,57.92,1714300,50.02
"2008-05-23",57.61,57.8,56.81,57.35,1898900,49.53
"2008-05-27",57.25,57.49,56.49,57.42,927800,49.59
"2008-05-28",57.97,58.46,57.7,58.13,1191100,50.21
"2008-05-29",58.09,58.32,57.33,58.08,1090700,50.16
"2008-05-30",57.69,58.8,57.69,58.55,823000,50.57
"2008-06-02",58.09,58.31,56.63,57.05,1807500,49.27
"2008-06-03",57.1,57.35,55.4,55.86,2288900,48.24
"2008-06-04",55.81,56.15,55.25,55.55,1975000,47.98
"2008-06-05",55.65,56.92,55.5,56.92,1532100,49.16
"2008-06-06",56.11,56.24,53.9,53.9,1903000,46.55
