"","ZMH.Open","ZMH.High","ZMH.Low","ZMH.Close","ZMH.Volume","ZMH.Adjusted"
"2012-12-10",65.25,65.82,65.14,65.5,1145600,64.68
"2012-12-11",66.03,67.26,66.01,67.06,1459600,66.22
"2012-12-12",67.27,68.39,66.81,67.55,1466800,66.7
"2012-12-13",67.43,67.65,67.26,67.35,1311900,66.51
"2012-12-14",67.07,67.68,66.75,67.26,1631500,66.42
"2012-12-17",67.42,68.19,67.14,68.12,1339300,67.27
"2012-12-18",68.17,69.09,68.06,68.72,1125400,67.86
"2012-12-19",68.85,68.9,68.19,68.24,1197000,67.38
"2012-12-20",68.46,68.86,67.91,68.8,1140900,67.94
"2012-12-21",68.46,68.46,67.47,67.64,1596000,66.79
"2012-12-24",67.19,67.91,66.96,67.1,3e+05,66.44
"2012-12-26",67.17,67.36,66.28,66.58,597000,65.92
"2012-12-27",66.58,66.83,65.75,66.73,667400,66.07
"2012-12-28",66.3,66.65,65.52,65.54,614100,64.89
"2012-12-31",65.42,66.66,65.15,66.66,1107900,66
