"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"2011-11-21",55.71,55.92,54,55.13,3186900,51.06
"2011-11-22",54.75,54.86,53.9,54.4,2898000,50.39
"2011-11-23",53.41,53.8,52.96,52.97,2444800,49.52
"2011-11-25",52.78,54.22,52.69,53.42,1008300,49.94
"2011-11-28",54.64,55.43,54.49,54.82,2185900,51.25
"2011-11-29",54.96,55.52,54.82,55.13,2141700,51.54
"2011-11-30",56.25,57.35,56.13,57.07,2962000,53.35
"2011-12-01",56.86,58,56.69,57.33,1932400,53.59
"2011-12-02",57.76,57.84,56.97,56.99,1773900,53.27
"2011-12-05",57.73,58.18,57,57.42,2008100,53.68
"2011-12-06",57.51,57.9,57.22,57.31,2280100,53.57
"2011-12-07",56.91,57.08,56.47,56.54,2691200,52.85
"2011-12-08",56.33,56.81,55.59,55.7,2076800,52.07
"2011-12-09",55.85,56.69,55.73,56.4,1833100,52.72
"2011-12-12",56.05,56.44,55.68,55.98,1368300,52.33
"2011-12-13",56.09,56.68,55.09,55.3,1718100,51.69
"2011-12-14",55.08,55.59,55,55.15,2285700,51.55
"2011-12-15",55.54,55.83,55.26,55.34,1819100,51.73
"2011-12-16",55.78,56.23,55.01,55.66,3228100,52.03
"2011-12-19",56.02,56.36,55.04,55.16,1294600,51.56
"2011-12-20",55.91,56.95,55.91,56.75,1539900,53.05
"2011-12-21",56.91,57.36,56.56,57.1,1898400,53.38
"2011-12-22",57.09,58,57.02,57.8,1446300,54.03
"2011-12-23",58.08,58.5,57.65,58.49,1382600,54.68
"2011-12-27",58.26,58.97,58.15,58.86,1124500,55.02
"2011-12-28",58.75,58.87,58.09,58.13,1289400,54.34
"2011-12-29",58.31,58.96,58.29,58.89,887200,55.05
"2011-12-30",58.77,59.15,58.46,58.48,1049000,54.67
"2012-01-03",59.42,59.56,58.66,58.66,1802200,54.84
"2012-01-04",58.39,58.81,57.95,58.63,1389600,54.81
"2012-01-05",58.15,58.26,57.31,58.15,1794700,54.36
"2012-01-06",58.09,58.22,57.72,57.9,2405600,54.12
"2012-01-09",58.04,58.19,57.59,57.91,1386000,54.13
"2012-01-10",58.41,58.9,58.17,58.62,1793400,54.8
"2012-01-11",58.33,58.73,58.28,58.51,1492600,54.7
"2012-01-12",58.56,59.88,58.56,59.75,1473900,55.85
"2012-01-13",59.4,59.44,58.72,58.84,1207600,55
"2012-01-17",59.33,60.05,59.2,59.63,1717000,55.74
"2012-01-18",59.55,60.3,59.19,60.17,1289000,56.25
"2012-01-19",60.34,61.57,60.17,61.31,1947000,57.31
"2012-01-20",61.31,61.52,61.07,61.39,2304600,57.39
"2012-01-23",61.56,61.86,60.32,60.49,1763800,56.55
"2012-01-24",60.16,60.16,59.71,60,1439900,56.09
"2012-01-25",59.44,59.81,58.86,59.59,2735100,55.7
"2012-01-26",59.63,59.66,58.96,59.32,2732200,55.45
"2012-01-27",59.05,59.15,58.52,58.71,1431000,54.88
"2012-01-30",57.99,58.48,57.92,58.2,2323100,54.41
"2012-01-31",58.09,58.64,57.93,58.05,2498500,54.27
"2012-02-01",58.33,60.19,58.33,59.25,3879500,55.39
"2012-02-02",58.24,58.94,57.88,58.3,3033200,54.5
"2012-02-03",58.88,58.99,58.19,58.31,3042900,54.51
"2012-02-06",58.03,58.82,58.01,58.8,1723800,54.97
"2012-02-07",58.82,59.91,58.76,59.84,1700600,55.94
"2012-02-08",59.88,60.68,59.88,60.5,2048700,56.56
"2012-02-09",60.57,60.65,60.03,60.21,1326900,56.28
"2012-02-10",59.85,59.9,59.51,59.81,759700,55.91
"2012-02-13",59.97,60.39,59.77,60.3,1330600,56.37
"2012-02-14",60.09,60.21,59.68,60.21,889000,56.28
"2012-02-15",60.29,60.29,59.55,59.65,1407500,55.76
"2012-02-16",59.83,59.85,59.03,59.68,1773200,55.79
"2012-02-17",60.05,60.2,59.48,60.08,1125300,56.16
"2012-02-21",60.11,60.38,59.64,59.86,1448800,55.96
"2012-02-22",59.72,60.34,59.57,60.05,1624300,56.13
"2012-02-23",59.35,59.8,59.28,59.62,1318800,56.2
"2012-02-24",59.67,60.78,59.56,59.92,1462100,56.48
"2012-02-27",59.5,60.57,59.5,60.05,1401200,56.61
"2012-02-28",60.04,60.05,59.56,59.89,1165100,56.46
"2012-02-29",60,60.29,59.64,59.81,2057600,56.38
"2012-03-01",60.42,60.42,59.67,60.21,1376800,56.76
"2012-03-02",60.07,60.24,59.59,59.76,1317200,56.33
"2012-03-05",59.72,60.04,59.61,59.93,1431400,56.49
"2012-03-06",59.5,59.96,59.44,59.67,2668400,56.25
"2012-03-07",59.83,60.08,59.55,59.96,2146700,56.52
"2012-03-08",60.07,60.85,60.07,60.37,1564700,56.91
"2012-03-09",60.46,60.58,59.97,60.18,1692100,56.73
"2012-03-12",60.47,60.77,60.1,60.65,1144400,57.17
"2012-03-13",60.9,61.66,60.6,61.54,1654100,58.01
"2012-03-14",61.43,62.11,61.28,62.06,2034500,58.5
"2012-03-15",62,62.01,61.4,61.97,1794800,58.42
"2012-03-16",62.05,62.23,61.74,61.99,2965500,58.43
"2012-03-19",62.1,62.31,61.72,61.87,1187100,58.32
"2012-03-20",61.45,61.6,60.99,61.07,1452900,57.57
"2012-03-21",61.1,61.31,60.71,60.83,1126200,57.34
"2012-03-22",60.51,61.12,60.19,60.97,1629400,57.47
"2012-03-23",61.08,61.22,60.4,60.57,1377100,57.1
"2012-03-26",60.86,61.62,60.86,61.53,1314700,58
"2012-03-27",61.7,61.75,61.08,61.13,1246500,57.62
"2012-03-28",61.05,61.28,60.52,60.85,1593700,57.36
"2012-03-29",60.49,60.98,60.04,60.89,1352900,57.4
"2012-03-30",61.25,61.52,60.79,61.08,1493500,57.58
"2012-04-02",61.19,62.18,60.96,61.82,1684100,58.27
"2012-04-03",62.24,62.33,61.04,61.51,1588100,57.98
"2012-04-04",61.23,61.64,61.04,61.45,1456800,57.93
"2012-04-05",61.15,61.21,60.77,60.85,1545800,57.36
"2012-04-09",60.3,60.3,59.9,60.03,1344400,56.59
"2012-04-10",59.95,59.95,59.51,59.73,2406500,56.3
"2012-04-11",60.19,60.46,60.02,60.19,1150000,56.74
"2012-04-12",60.1,61.39,60.1,61.29,1298000,57.78
"2012-04-13",61.21,61.5,60.81,60.81,1226800,57.32
"2012-04-16",61.08,61.4,60.83,61.04,2860300,57.54
"2012-04-17",61.3,62,61.01,61.77,1080800,58.23
"2012-04-18",61.9,62.29,61.61,61.92,1251200,58.37
"2012-04-19",61.74,61.85,60.88,61.02,1178100,57.52
"2012-04-20",61.14,61.91,61.14,61.81,1468800,58.27
"2012-04-23",61.4,61.8,60.96,61.58,1553800,58.05
"2012-04-24",61.57,62.8,61.57,62.73,2252100,59.13
"2012-04-25",63.54,65.78,62.43,63.01,2632500,59.4
"2012-04-26",63.06,63.9,62.87,63.44,2416300,59.8
"2012-04-27",63.76,64.28,63.54,63.75,2213300,60.09
"2012-04-30",63.43,63.63,63.04,63.28,1316800,59.65
"2012-05-01",63.37,63.8,62.95,63.46,1891900,59.82
"2012-05-02",62.97,63.39,62.9,63.35,1691900,59.72
"2012-05-03",63.26,63.31,62.71,62.84,1357900,59.24
"2012-05-04",62.61,62.94,61.9,61.9,1251300,58.35
"2012-05-07",61.7,61.93,61.48,61.78,1508300,58.24
"2012-05-08",61.39,61.46,60.91,61.37,1845400,57.85
"2012-05-09",60.9,61.3,60.47,60.68,1762000,57.2
"2012-05-10",61.02,61.24,60.58,60.7,909700,57.22
"2012-05-11",60.4,60.59,59.72,59.91,2389700,56.47
"2012-05-14",59.54,60.41,59.25,60.11,1847900,56.66
"2012-05-15",59.98,60.14,59.72,59.8,2039800,56.37
"2012-05-16",60.17,60.32,59.57,59.57,1517300,56.15
"2012-05-17",59.55,59.83,58.49,58.5,1721500,55.15
"2012-05-18",58.75,58.93,57.98,58.08,1443700,54.75
"2012-05-21",58.28,59.01,58.14,58.99,1330300,55.61
"2012-05-22",59.07,59.57,58.83,59.1,1575900,55.71
"2012-05-23",58.46,58.72,57.61,58.64,1260100,55.8
"2012-05-24",59.02,59.07,58.09,58.81,1510000,55.96
"2012-05-25",58.19,59.21,58.19,58.5,1056900,55.66
"2012-05-29",58.69,59.22,58.69,58.98,1170400,56.12
"2012-05-30",58.54,59.31,58.53,58.85,1370000,56
"2012-05-31",58.89,59.25,58.64,58.75,2075400,55.9
"2012-06-01",58.15,58.2,57.42,57.42,1496100,54.64
"2012-06-04",57.5,57.79,56.9,57.11,1706400,54.34
"2012-06-05",56.94,57.41,56.59,57.29,1281600,54.51
"2012-06-06",57.6,58.62,57.32,58.59,4115500,55.75
"2012-06-07",59.2,59.92,59.17,59.35,1491900,56.47
"2012-06-08",59.13,59.77,59.01,59.77,1304200,56.87
"2012-06-11",60.12,60.33,59.22,59.28,1154000,56.41
"2012-06-12",59.58,60,59.32,59.93,1685600,57.02
"2012-06-13",59.75,60.26,59.48,59.75,2695000,56.85
"2012-06-14",59.89,61.07,59.59,60.53,2198400,57.59
"2012-06-15",60.93,61.2,60.65,61.18,1734200,58.21
"2012-06-18",60.9,61.74,60.82,61.52,975000,58.54
"2012-06-19",61.85,62.57,61.65,62.24,1385600,59.22
"2012-06-20",62.25,62.55,61.83,62.29,1934400,59.27
"2012-06-21",62.28,62.53,61.78,61.84,1668900,58.84
"2012-06-22",62.18,62.33,61.67,62.11,1539400,59.1
"2012-06-25",62.07,62.07,61.27,61.48,1573400,58.5
"2012-06-26",61.69,61.71,60.79,61.08,1550200,58.12
"2012-06-27",60.74,62.43,60.74,62.13,1279000,59.12
"2012-06-28",61.67,61.81,61.19,61.73,1354300,58.74
"2012-06-29",62.36,63.8,62.36,63.79,1706800,60.7
"2012-07-02",63.85,64.05,63.15,63.54,1299800,60.46
"2012-07-03",63.6,64.18,63.47,63.94,654000,60.84
"2012-07-05",63.78,64.13,63.65,63.93,923800,60.83
"2012-07-06",63.44,63.56,63,63.47,902200,60.39
"2012-07-09",63.48,63.71,63.13,63.61,840400,60.53
"2012-07-10",63.82,64.29,62.8,63.08,1020100,60.02
"2012-07-11",63.21,63.23,62.61,62.82,1219100,59.77
"2012-07-12",62.49,62.72,61.86,62.16,1030300,59.15
"2012-07-13",62.52,63.79,62.37,63.79,1138300,60.7
"2012-07-16",63.53,63.76,63.05,63.49,885600,60.41
"2012-07-17",63.57,64.3,62.97,64.13,989500,61.02
"2012-07-18",63.9,65.19,63.9,65.12,1031100,61.96
"2012-07-19",64.88,65.35,64.5,65.12,1141000,61.96
"2012-07-20",64.46,65.34,64.42,64.76,957800,61.62
"2012-07-23",64.04,64.27,63.67,63.76,1856700,60.67
"2012-07-24",63.48,64.32,62.93,64.18,2366300,61.07
"2012-07-25",64.3,64.38,63.23,63.91,2344900,60.81
"2012-07-26",65.16,65.47,64.19,64.8,2887800,61.66
"2012-07-27",65.09,66.04,64.68,65.8,2370200,62.61
"2012-07-30",65.65,66.8,65.11,66.76,2525800,63.52
"2012-07-31",66.49,66.68,66.1,66.2,2090700,62.99
"2012-08-01",66.39,66.69,65.79,65.84,1633600,62.65
"2012-08-02",65.63,65.95,64.73,65.61,1513800,62.43
"2012-08-03",66.76,66.84,66.3,66.37,1475900,63.15
"2012-08-06",66.69,66.72,66.1,66.31,1257400,63.09
"2012-08-07",66.67,67.33,66.46,67.2,1358300,63.94
"2012-08-08",66.99,68.02,66.75,67.85,1798600,64.56
"2012-08-09",67.6,68.55,67.51,68.4,1736800,65.08
"2012-08-10",68.18,68.54,67.95,68.5,973200,65.18
"2012-08-13",68.33,68.76,67.73,68.67,1408000,65.34
"2012-08-14",69.01,69.02,68.23,68.36,849300,65.04
"2012-08-15",68.05,68.45,67.85,68.28,887900,64.97
"2012-08-16",68.28,68.89,68.24,68.79,1033000,65.45
"2012-08-17",68.92,69.37,68.71,69.32,1230800,65.96
"2012-08-20",69.38,69.88,69.28,69.75,1463100,66.37
"2012-08-21",69.86,70.2,69.38,69.52,1935600,66.15
"2012-08-22",69.31,69.49,68.17,68.34,2171800,65.03
"2012-08-23",67.42,67.65,66.66,66.92,2277100,64.19
"2012-08-24",66.82,67.5,66.63,67.4,1758800,64.65
"2012-08-27",67.54,67.77,67.07,67.11,1319000,64.37
"2012-08-28",66.94,67.04,66.21,66.91,2142000,64.18
"2012-08-29",67.17,67.49,67,67.25,1416300,64.51
"2012-08-30",66.95,67.16,66.53,66.56,1242700,63.85
"2012-08-31",66.95,67.46,66.53,66.89,1060800,64.16
"2012-09-04",66.89,67.07,66.03,66.75,1159700,64.03
"2012-09-05",66.71,67.04,66.18,66.52,1650900,63.81
"2012-09-06",67.07,68.12,66.98,67.69,1599300,64.93
"2012-09-07",67.7,67.77,67.13,67.37,1295400,64.62
"2012-09-10",67.4,67.41,66.87,67.05,1546200,64.32
"2012-09-11",67.16,67.53,66.94,67.42,1099500,64.67
"2012-09-12",67.77,68.27,67.57,67.93,1319700,65.16
"2012-09-13",66.77,67.29,65.45,67.01,3055300,64.28
"2012-09-14",66.91,67.23,65.9,66.33,2382600,63.63
"2012-09-17",66.15,66.7,66.01,66.48,1856900,63.77
"2012-09-18",66.39,66.89,66.06,66.89,1615000,64.16
"2012-09-19",66.89,67.06,66.14,66.9,1926300,64.17
"2012-09-20",66.67,67,66.27,66.94,1455100,64.21
"2012-09-21",66.9,67.26,66.8,66.89,2174500,64.16
"2012-09-24",66.5,66.81,65.75,66.56,1382900,63.85
"2012-09-25",66.74,66.79,65.66,65.79,1541900,63.11
"2012-09-26",65.84,66.49,65.82,66.19,1441300,63.49
"2012-09-27",66.56,66.7,65.97,66.47,942900,63.76
"2012-09-28",66.2,66.65,65.58,66.43,1107700,63.72
"2012-10-01",66.6,67.96,66.4,67.58,1987100,64.82
"2012-10-02",67.8,67.91,67.06,67.86,1516700,65.09
"2012-10-03",67.95,68.25,67.62,68.08,1594400,65.3
