"","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"2009-01-20",126.19,127.4,117.06,119.18,55609000,11.74
"2009-01-21",121,132.38,121,132.1,53002000,13.02
"2009-01-22",128.04,131.5,125.43,128.85,22486000,12.7
"2009-01-23",121.89,127.55,120.14,125.45,34383000,12.36
"2009-01-26",124.44,128.67,121.56,123.12,23856000,12.13
"2009-01-27",126.01,129.49,125.46,126.76,21768000,12.49
"2009-01-28",132.56,135.05,131.33,133.66,27342000,13.17
"2009-01-29",130.78,132.13,128.5,129.09,17777000,12.72
"2009-01-30",132.36,139.55,132.13,135.78,37337000,13.38
"2009-02-02",133.61,138.57,130.27,136.98,19962000,13.5
"2009-02-03",138.01,141.66,136.6,139.7,28901000,13.77
"2009-02-04",141.49,143.48,139,140.15,29432000,13.81
"2009-02-05",147.19,160.39,145.73,159.84,94885000,15.75
"2009-02-06",160.56,164.63,156.57,162.5,64285000,16.01
"2009-02-09",162.24,163.26,157.5,162.02,33238000,15.97
"2009-02-10",161.5,165.77,157.15,157.97,27107000,15.57
"2009-02-11",159.99,164,156.73,163.98,27056000,16.16
"2009-02-12",161.22,162.15,155.15,161.8,39540000,15.94
"2009-02-13",163.49,168.88,161.86,161.9,44516000,15.95
"2009-02-17",158,159.46,152.66,155.09,46498000,15.28
"2009-02-18",157.04,160.5,153.7,159.04,31373000,15.67
"2009-02-19",160.75,162,154.23,154.55,29852000,15.23
"2009-02-20",151.36,159.38,150.43,158.01,33074000,15.57
"2009-02-23",160.5,162.41,151.22,152.58,29356000,15.03
"2009-02-24",153,161.75,151.43,161.27,45905000,15.89
"2009-02-25",159.75,165.96,157.43,162.57,52819000,16.02
"2009-02-26",164.5,164.5,155,155.7,46944000,15.34
"2009-02-27",152.38,162.53,151.76,158.03,45445000,15.57
"2009-03-02",154.77,158.7,149.1,150.63,41411000,14.84
"2009-03-03",152.8,154.97,147.79,151.01,37274000,14.88
"2009-03-04",154.1,155.8,146.4,150.48,39553000,14.83
"2009-03-05",147.77,154.14,145.18,146.92,38804000,14.48
"2009-03-06",148,148.29,139.16,142.44,37595000,14.04
"2009-03-09",140.25,146,139.56,142.44,22719000,14.04
"2009-03-10",144.1,149.04,143.51,148.48,39087000,14.63
"2009-03-11",150.23,150.23,142.82,147.84,24505000,14.57
"2009-03-12",147.91,157.96,145.43,157.07,33673000,15.48
"2009-03-13",158,160.23,154.5,158.31,29335000,15.6
"2009-03-16",160,161.82,153.32,153.69,22055000,15.14
"2009-03-17",153.39,162.47,152.51,162.38,29737000,16
"2009-03-18",159.98,161.17,157.59,159.75,28081000,15.74
"2009-03-19",163.47,165.28,153.29,154.1,33658000,15.18
"2009-03-20",155.31,156.99,152.84,155.53,24708000,15.33
"2009-03-23",158.5,162.94,155.71,162.89,23535000,16.05
"2009-03-24",160.14,167.59,159.11,162.88,31564000,16.05
"2009-03-25",161.83,165,159.81,164.53,31788000,16.21
"2009-03-26",166.95,171.41,164.93,169.88,36507000,16.74
"2009-03-27",165.39,169.88,164.57,167.47,18360000,16.5
"2009-03-30",164.34,167.19,162.07,163.05,22330000,16.07
"2009-03-31",164,168.36,163.05,167.48,31897000,16.5
"2009-04-01",163.39,163.75,157.15,160.08,50889000,15.77
"2009-04-02",163,167.56,162.11,165.66,39610000,16.32
"2009-04-03",165,174.05,164,174.05,36303000,17.15
"2009-04-06",171.6,177.45,168.27,171.53,43605000,16.9
"2009-04-07",169.58,170.98,165.76,165.76,26152000,16.33
"2009-04-08",167.95,167.95,163.8,167.33,17512000,16.5
"2009-04-09",170.88,172.61,167.79,172.46,27688000,17.01
"2009-04-13",170.1,176.62,168.96,176.06,26997000,17.36
"2009-04-14",175,175,166,166.1,33818000,16.38
"2009-04-15",167.19,167.2,160.98,165.46,34967000,16.32
"2009-04-16",161,163.37,157.9,161.7,39334000,15.95
"2009-04-17",162.2,164.98,157.66,163.06,40526000,16.08
"2009-04-20",159.76,161.67,151.85,151.85,36136000,14.98
"2009-04-21",150.48,164.37,149.34,164.37,45720000,16.21
"2009-04-22",161.13,165,159.56,160.77,31615000,15.86
"2009-04-23",162.2,165.37,158.8,165.25,32295000,16.3
"2009-04-24",168.49,173.1,164.62,173.09,39012000,17.07
"2009-04-27",168.16,172,165.36,165.55,32183000,16.33
"2009-04-28",164.37,170.76,162.7,167.54,25515000,16.52
"2009-04-29",170.38,178.21,168.17,178.21,45922000,17.58
"2009-04-30",180.89,188.77,180.35,183.45,69872000,18.09
"2009-05-01",175.51,176,163.64,172.9,109205000,17.05
"2009-05-04",176.75,179.22,171.67,178.99,43896000,17.65
"2009-05-05",176.07,183.41,175.46,183.41,43759000,18.09
"2009-05-06",184.52,185.36,179.87,183.43,32739000,18.09
"2009-05-07",184.99,186.75,180.25,180.78,28138000,17.83
"2009-05-08",182.8,185.08,181.34,185.08,21538000,18.25
"2009-05-11",181.6,184.69,179.25,180.98,20229000,17.85
"2009-05-12",182.49,182.95,177.16,178.2,20480000,17.58
"2009-05-13",174,176.26,170.5,170.76,37406000,16.84
"2009-05-14",170,173.83,169.22,173.35,26907000,17.1
"2009-05-15",172.76,173.92,170.05,173.13,19498000,17.08
"2009-05-18",174.66,175,171.26,173.4,26282000,17.1
"2009-05-19",172.34,172.34,166.45,166.73,32262000,16.44
"2009-05-20",168.94,176.49,168.16,169.63,58524000,16.73
"2009-05-21",168.77,172.82,168,171.69,20220000,16.93
"2009-05-22",168.35,171.69,167.39,168.36,22554000,16.6
"2009-05-26",167,170.07,165.27,168.61,22916000,16.63
"2009-05-27",169,172.12,166.66,167.38,19871000,16.51
"2009-05-28",168.75,172.53,168.01,172.11,16548000,16.97
"2009-05-29",171.7,176.33,170.11,176.33,15013000,17.39
"2009-06-01",177.5,179,171.71,173.73,23514000,17.13
"2009-06-02",173.12,174.1,168.2,168.39,23958000,16.61
"2009-06-03",167.83,168.64,162.25,167.51,24355000,16.52
"2009-06-04",167.75,171.86,165.26,168.4,46802000,16.61
"2009-06-05",170.72,171.29,166.13,167.68,29600000,16.54
"2009-06-08",166.31,168.27,164.55,165.97,15603000,16.37
"2009-06-09",166.03,169.83,164.4,168.18,27552000,16.59
"2009-06-10",169.93,175.88,169.28,173.6,58821000,17.12
"2009-06-11",174.92,175.35,169.13,169.95,48560000,16.76
"2009-06-12",169.01,169.95,165.8,167.06,25408000,16.48
"2009-06-15",165.25,168.39,164.06,166.47,17311000,16.42
"2009-06-16",167.73,168.23,162.64,163.56,26840000,16.13
"2009-06-17",162.87,166.88,162.86,164.26,25635000,16.2
"2009-06-18",163.21,165.16,162.11,163.39,15875000,16.11
"2009-06-19",163.67,163.67,160.17,161.35,32146000,15.91
"2009-06-22",161.15,163.21,156.78,156.78,20448000,15.46
"2009-06-23",157,160.85,155.51,160.13,21099000,15.79
"2009-06-24",161.3,162.59,159.75,161.06,17093000,15.88
"2009-06-25",161.49,166.23,159.18,164.28,36044000,16.2
"2009-06-26",164.04,168.91,163.32,168.91,20758000,16.66
"2009-06-29",169.49,169.49,165.51,168.15,14673000,16.58
"2009-06-30",169,169,165.52,167.31,11261000,16.5
"2009-07-01",167.48,169.25,165.4,165.84,14436000,16.36
"2009-07-02",162.53,168.14,162.53,166.28,18844000,16.4
"2009-07-06",165,167.37,164.97,166.81,14977000,16.45
"2009-07-07",166.9,167.2,160.8,161,23854000,15.88
"2009-07-08",160.91,164.38,159.94,160.7,24466000,15.86
"2009-07-09",161.83,162.94,159.38,162.8,14411000,16.07
"2009-07-10",160.59,162.4,158.57,160.56,13306000,15.85
"2009-07-13",160.56,165.52,160.49,165.52,15275000,16.34
"2009-07-14",165.31,166.22,163.48,165.93,7923000,16.38
"2009-07-15",167.28,172.69,166.7,172.37,21320000,17.02
"2009-07-16",171.49,180.76,171.48,178.27,28441000,17.6
"2009-07-17",179.04,181.25,178.29,179.84,17015000,17.75
"2009-07-20",180.52,185.42,180.1,181.42,30597000,17.91
"2009-07-21",182.06,183,179.42,180.94,14494000,17.86
