"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume","UTX.Adjusted"
"2012-06-22",75.15,75.48,74.81,75.2,5061600,72.17
"2012-06-25",74.7,74.7,73.56,73.75,2792000,70.77
"2012-06-26",73.81,74,72.82,73.63,3457600,70.66
"2012-06-27",73.98,74.28,73.76,74.16,2701300,71.17
"2012-06-28",73.48,73.59,71.86,72.6,4821800,69.67
"2012-06-29",73.94,75.57,73.91,75.53,5132600,72.48
"2012-07-02",75.4,76.13,74.52,75.04,3517400,72.01
"2012-07-03",74.85,75.95,74.78,75.75,1526800,72.69
"2012-07-05",75.59,75.92,75.15,75.39,2323400,72.35
"2012-07-06",74.72,74.78,73.37,74.09,3620000,71.1
"2012-07-09",74,74.61,73.76,74.33,3223900,71.33
"2012-07-10",75.73,75.97,73.61,74.15,4187100,71.16
"2012-07-11",74.08,74.08,72.26,72.51,4992200,69.58
"2012-07-12",71.66,72.39,70.95,71.84,3786600,68.94
"2012-07-13",71.94,73.66,71.94,73.59,3089500,70.62
"2012-07-16",73.44,73.57,72.31,73.21,2594600,70.26
"2012-07-17",73.55,74.3,72.34,73.6,3077100,70.63
"2012-07-18",73.66,75.18,73.13,74.85,3134700,71.83
"2012-07-19",74.92,76,74.52,75.82,3589500,72.76
"2012-07-20",75.35,75.46,74.11,74.23,4500900,71.23
"2012-07-23",73.76,73.76,72.05,73.28,2894400,70.32
"2012-07-24",73.1,73.33,71.4,71.94,3680400,69.04
"2012-07-25",72.44,73.24,71.9,72.61,4084100,69.68
"2012-07-26",72.98,75.31,72.34,72.93,6464500,69.99
"2012-07-27",73.45,74.98,72.64,74.28,4971400,71.28
"2012-07-30",74.27,75.58,74.27,74.97,4438000,71.94
"2012-07-31",74.64,75.08,74.29,74.44,3506700,71.44
"2012-08-01",74.9,75.37,74.41,74.79,4138300,71.77
"2012-08-02",74.26,74.79,73.1,74.44,4493200,71.44
"2012-08-03",74.92,77.25,74.92,76.81,4246400,73.71
"2012-08-06",77.22,77.68,76.62,76.65,3358600,73.56
"2012-08-07",77.2,78.51,77.1,78.12,4896300,74.97
"2012-08-08",78.06,78.46,77.24,77.48,3204100,74.35
"2012-08-09",77.47,77.53,76.33,77.03,2564000,73.92
"2012-08-10",76.72,77.92,76.49,77.89,2734200,74.75
"2012-08-13",77.72,77.88,76.84,77.47,2220900,74.34
"2012-08-14",77.69,78.26,77.42,77.78,3080800,74.64
"2012-08-15",77.25,78.17,77.06,77.99,3241300,75.36
"2012-08-16",77.42,79.11,77.42,78.77,3661000,76.11
"2012-08-17",79.45,80.4,79,80.37,4875300,77.66
"2012-08-20",80.28,81.19,79.79,80.08,6136500,77.38
"2012-08-21",80.11,80.54,79.2,79.27,3725100,76.6
"2012-08-22",79.05,79.95,79.01,79.66,3646300,76.97
"2012-08-23",79.4,79.6,78.78,79.2,2493300,76.53
"2012-08-24",79.05,80.2,79,80.08,3303300,77.38
"2012-08-27",80.3,81.11,79.82,80.56,4735500,77.84
"2012-08-28",80.36,80.94,79.96,80.64,3781600,77.92
"2012-08-29",80.77,80.86,80.05,80.17,2458900,77.47
"2012-08-30",79.53,79.88,78.37,79.06,3705500,76.39
"2012-08-31",79.79,80.48,79.16,79.85,3215300,77.16
"2012-09-04",79.7,80.07,77.92,78.35,4728800,75.71
"2012-09-05",78.32,78.32,77.49,78.03,5563500,75.4
"2012-09-06",78.74,79.71,78.65,79.4,4581800,76.72
"2012-09-07",80.1,80.34,79.05,79.41,4623100,76.73
"2012-09-10",79.2,79.59,78.6,78.61,3817900,75.96
"2012-09-11",78.62,79.37,78.53,78.76,3280000,76.1
"2012-09-12",78.84,79.37,78.5,78.83,3452700,76.17
"2012-09-13",78.93,80.89,78.7,80.53,4660900,77.82
"2012-09-14",81,82.5,80.68,82.45,7444700,79.67
"2012-09-17",82.38,82.56,81.81,82.15,3713200,79.38
"2012-09-18",81.58,82,81.09,81.48,4098600,78.73
"2012-09-19",81.36,81.78,80.3,81.72,4078700,78.97
"2012-09-20",81.39,81.5,80.18,80.92,5664200,78.19
"2012-09-21",81.19,81.35,80.22,80.75,12712200,78.03
"2012-09-24",80.43,80.43,79.43,80.03,3639800,77.33
"2012-09-25",80.09,80.24,78.68,78.77,5454100,76.11
"2012-09-26",78.9,79.06,78.31,78.53,4675500,75.88
"2012-09-27",78.85,79,77.96,78.35,4807100,75.71
