"","APOL.Open","APOL.High","APOL.Low","APOL.Close","APOL.Volume","APOL.Adjusted"
"2010-04-13",63.06,65.17,62.77,64.88,4386900,64.88
"2010-04-14",64.74,64.89,62.9,63.84,3558200,63.84
"2010-04-15",63.58,64.21,63.41,64.02,1575000,64.02
"2010-04-16",63.81,64.75,63.66,64.61,2075900,64.61
"2010-04-19",64.72,65.19,63.81,65.12,2064900,65.12
"2010-04-20",65.01,65.7,63.4,64.87,2179700,64.87
"2010-04-21",64.75,65.93,64.75,65.74,1806000,65.74
"2010-04-22",65.79,66.69,64.34,64.88,2016800,64.88
"2010-04-23",64.4,64.65,62.64,63.53,1852200,63.53
"2010-04-26",62.95,62.95,61.71,62.75,1920700,62.75
"2010-04-27",62.42,62.99,61.8,61.91,1719900,61.91
"2010-04-28",61.95,62.17,61.26,61.5,1557200,61.5
"2010-04-29",61.23,61.25,57.38,57.73,5665400,57.73
"2010-04-30",57.96,58.48,57.37,57.41,4429400,57.41
"2010-05-03",57.87,58.36,57.08,58.32,1801200,58.32
"2010-05-04",57.64,57.79,55.67,56.1,2738600,56.1
"2010-05-05",55.99,57.65,55.81,56.99,1777400,56.99
"2010-05-06",57.09,57.33,54,55.02,2105700,55.02
"2010-05-07",55.21,55.6,54,54.41,3814400,54.41
"2010-05-10",55.99,55.99,54.65,55.24,2728000,55.24
"2010-05-11",54.81,55.38,53.63,54.16,3718300,54.16
"2010-05-12",54.15,55.85,54,55.74,2026900,55.74
"2010-05-13",55.44,55.74,54.54,54.61,1738100,54.61
"2010-05-14",54.61,54.69,52.2,52.78,3639200,52.78
"2010-05-17",52.93,58.38,52.45,57.85,8779800,57.85
"2010-05-18",58.58,58.8,53.71,54.52,8716300,54.52
"2010-05-19",54.42,56.68,54.1,56.18,4826200,56.18
"2010-05-20",55.39,59.05,55.39,55.61,5307300,55.61
"2010-05-21",55.25,56.17,54.8,55.5,3347400,55.5
"2010-05-24",55.34,55.86,54.86,55.06,1628300,55.06
"2010-05-25",54.43,55.08,53.38,55.06,2079200,55.06
"2010-05-26",54.65,55.68,52.84,53.4,4319400,53.4
"2010-05-27",52.59,53.63,52.3,53.18,4268300,53.18
"2010-05-28",53.02,53.78,52.85,53.16,3003500,53.16
"2010-06-01",52.95,53.18,51.36,51.4,2849900,51.4
"2010-06-02",51.5,51.78,51.07,51.47,3946400,51.47
"2010-06-03",51.64,53.07,51.45,52.85,3800900,52.85
"2010-06-04",51.8,53.21,51.39,51.48,2638400,51.48
"2010-06-07",51.38,51.89,49.75,49.76,3789500,49.76
"2010-06-08",49.7,50.68,49.66,50.44,3214100,50.44
"2010-06-09",50.69,50.82,49.88,50.03,1924500,50.03
"2010-06-10",50.88,51.51,49.73,50.26,3187500,50.26
"2010-06-11",50,52.31,50,51.1,3186000,51.1
"2010-06-14",51.07,51.61,47.5,47.6,7236800,47.6
"2010-06-15",47.9,48.65,47.71,48.3,4226900,48.3
"2010-06-16",48.65,50.24,48.65,49.36,5224000,49.36
"2010-06-17",49.44,49.7,48.27,48.58,2536100,48.58
"2010-06-18",48.5,49.32,48.25,48.39,2946900,48.39
"2010-06-21",49.25,49.53,47.74,48.01,2951100,48.01
"2010-06-22",47.94,48.02,46.49,46.55,3614100,46.55
"2010-06-23",46.6,47.06,46,46.33,3115500,46.33
"2010-06-24",45.66,47.65,44.61,45.97,6327000,45.97
"2010-06-25",46.03,46.11,43.49,43.75,5009000,43.75
"2010-06-28",43.87,44.75,43.6,44.51,3684900,44.51
"2010-06-29",44.04,44.23,42.88,43.13,3760400,43.13
"2010-06-30",43.01,44.34,42.41,42.47,4522700,42.47
"2010-07-01",41.53,44.69,41.45,43.34,8041500,43.34
