"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2010-04-09",63.67,64.29,63.67,64.26,831600,31.23
"2010-04-12",64.33,64.42,63.85,64.04,1019600,31.12
"2010-04-13",63.87,64.32,63.73,64.22,1378000,31.21
"2010-04-14",64.29,64.46,63.97,64.2,731200,31.2
"2010-04-15",63.96,64.59,63.87,64.01,2213600,31.1
"2010-04-16",63.72,64.15,63.13,63.99,2963200,31.09
"2010-04-19",63.48,64.13,63.27,64.11,2400400,31.15
"2010-04-20",64.71,64.95,64.35,64.64,665800,31.41
"2010-04-21",64.49,64.56,63.83,64.18,1245400,31.19
"2010-04-22",63.54,64.69,63.45,64.54,1158600,31.36
"2010-04-23",64.69,65.18,64.27,65.15,1142400,31.66
"2010-04-26",65.22,65.44,64.3,64.42,989200,31.3
"2010-04-27",64.35,64.62,63.24,63.72,4584200,30.96
"2010-04-28",64,64.5,63.65,64.08,2772600,31.14
"2010-04-29",64.65,65.66,64.65,65.07,2144600,31.62
"2010-04-30",65.37,65.7,63.61,63.64,1879000,30.92
"2010-05-03",64.15,64.51,63.54,64.3,1767000,31.25
"2010-05-04",62.6,64.76,60.43,64.02,8667400,31.11
"2010-05-05",63.4,64.31,62.77,64,4497000,31.1
"2010-05-06",63.49,64.52,59.85,64,7083200,31.1
"2010-05-07",63.9,64.37,60.76,62.8,6045600,30.52
"2010-05-10",65.7,65.8,63.86,64.56,2998400,31.37
"2010-05-11",63.76,64.81,63.76,64.07,1472800,31.13
"2010-05-12",64.29,65.23,64.06,65.14,1519000,31.65
"2010-05-13",65.04,65.6,64.34,64.54,853200,31.36
"2010-05-14",64.19,64.37,61.92,62.35,3085400,30.3
"2010-05-17",62.4,63.29,61.77,62.88,3569800,30.56
"2010-05-18",63.26,64.17,61,61.1,2353600,29.69
"2010-05-19",60.74,60.88,59.6,60.73,1817400,29.51
"2010-05-20",58.79,60.15,58.45,58.88,2937600,28.61
