"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume","MOS.Adjusted"
"2009-10-27",49.9,50.39,49,49.09,4806700,45.81
"2009-10-28",48.73,50,47.3,47.48,5940800,44.31
"2009-10-29",48.1,49.5,48.01,48.96,3884300,45.69
"2009-10-30",49.13,49.13,46.16,46.73,6250600,43.61
"2009-11-02",47.7,48.47,46.41,47.44,6160400,44.27
"2009-11-03",46.8,48.84,46.51,48.14,4640400,44.97
"2009-11-04",48.74,49.77,48.58,48.77,4800800,45.56
"2009-11-05",49.27,49.51,48.05,49.49,4253900,46.23
"2009-11-06",48.9,50.48,48.9,50.35,4011100,47.03
"2009-11-09",50.59,50.83,49.7,50.22,4065000,48.15
"2009-11-10",50.37,51.32,49.87,50.99,5210000,48.89
"2009-11-11",51.45,51.98,50.82,51.78,4136500,49.65
"2009-11-12",51.47,51.79,49.25,49.71,8983700,47.67
"2009-11-13",49.92,50.24,47.7,48.12,6492900,46.14
"2009-11-16",48.81,50.5,48.72,49.89,5263800,47.84
"2009-11-17",49.66,53.13,49.63,52.77,7640900,50.6
"2009-11-18",53.47,54.74,53,54.44,7880900,52.2
"2009-11-19",53.93,54.27,52.42,54.06,4405500,51.84
"2009-11-20",53.13,55.38,52.98,55.31,6186000,53.04
"2009-11-23",56.02,57.42,54.61,54.98,6701100,52.72
"2009-11-24",54.98,55,53.45,54.1,5212000,51.88
"2009-11-25",54.41,55.99,54.07,55.98,3614400,53.68
"2009-11-27",53.62,55.31,53.51,54.35,2327400,52.12
"2009-11-30",54.41,55.3,53.98,54.45,3500200,52.21
"2009-12-01",55.28,57.67,55.25,57.17,6925000,54.82
"2009-12-02",57.8,61.9,57.5,61.69,13677700,59.15
"2009-12-03",61.97,62.04,59.92,60.58,6426500,58.09
"2009-12-04",62.08,62.46,57.12,58.29,9884600,55.89
"2009-12-07",59.23,60.73,58.77,59.94,6100600,57.48
"2009-12-08",59.43,60.5,59,59.27,4980000,56.83
"2009-12-09",59.59,60.1,58.75,59.63,5055000,57.18
"2009-12-10",60.28,60.5,59,59.69,3819500,57.24
"2009-12-11",60.11,60.7,58.35,58.99,5037600,56.56
"2009-12-14",59.33,59.66,58.05,58.98,4228800,56.55
"2009-12-15",58.95,61.56,58.55,59.1,5325500,56.67
"2009-12-16",59.66,60.45,59.02,59.68,3410100,57.23
"2009-12-17",58.97,59,55.79,56.03,8549600,53.73
"2009-12-18",56,56.69,54.71,55.22,7128700,52.95
"2009-12-21",57.33,58.7,57.11,58.31,7642200,55.91
"2009-12-22",57.58,58.92,57.45,58.65,5654000,56.24
"2009-12-23",59.59,60.6,59.05,60.3,4596400,57.82
"2009-12-24",59.93,60.93,59.73,60.61,1950500,58.12
"2009-12-28",61.43,61.61,60.45,60.83,2311300,58.33
"2009-12-29",60.28,60.34,58.94,59.68,3227100,57.23
"2009-12-30",59.01,60.1,58.92,59.76,1871000,57.3
"2009-12-31",60.2,60.34,59.73,59.73,1820600,57.27
"2010-01-04",60.45,62.36,60.08,61.71,4072100,59.17
"2010-01-05",62.43,63.83,62.43,63.15,6505800,60.55
"2010-01-06",64.36,65.95,62.97,65.57,9995100,62.87
"2010-01-07",65.09,66.35,64.45,65.76,5544100,63.06
"2010-01-08",65.74,66.97,65.48,66.7,4074500,63.96
"2010-01-11",67.85,68.28,65.38,66.31,4027700,63.58
"2010-01-12",63.33,64.36,61.67,62.49,10232000,59.92
"2010-01-13",62.26,62.75,60.7,62.54,6831400,59.97
"2010-01-14",62.77,63.09,60.62,60.84,4516300,58.34
"2010-01-15",61.47,62.59,60.71,61.56,5458800,59.03
"2010-01-19",61.5,63.1,61.39,63.04,4479800,60.45
"2010-01-20",62.19,62.38,60.81,62.03,4317400,59.48
"2010-01-21",62.08,63.4,60.02,60.07,5739800,57.6
"2010-01-22",60.08,60.5,58.32,58.63,3872100,56.22
"2010-01-25",59.37,60.67,58.74,58.76,3217100,56.34
"2010-01-26",58.15,60.23,57.06,58.58,4684000,56.17
"2010-01-27",58.81,59.33,56.74,58.04,4180800,55.65
"2010-01-28",57.5,58.2,54.82,55.56,7023300,53.28
"2010-01-29",56.24,57.29,53.2,53.51,5921900,51.31
"2010-02-01",54.08,56.27,54.05,56.27,3562000,53.96
"2010-02-02",56.76,56.85,55.25,56.35,5062300,54.08
"2010-02-03",57.35,58.44,56.76,57.64,4821300,55.32
"2010-02-04",56.42,56.7,54.01,54.01,4867200,51.84
"2010-02-05",54.44,55.35,52.87,55.18,4786900,52.96
"2010-02-08",55.66,56.61,54.51,54.54,3891800,52.34
"2010-02-09",55.54,57.5,55.54,56.91,5042800,54.62
"2010-02-10",57.59,58.13,56.48,57.42,5103100,55.11
"2010-02-11",57.7,58.92,57.41,58.42,6274000,56.07
"2010-02-12",57.39,59.13,57.1,58.83,4379600,56.46
"2010-02-16",60,60.44,59.44,60.38,4501900,57.95
"2010-02-17",61.37,61.59,60.2,61.26,4766600,58.79
