"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2008-05-27",66.31,68.48,65.51,68.25,9291600,17.06
"2008-05-28",68.5,70.9,67.59,70.18,18012800,17.55
"2008-05-29",70.01,72.32,68.8,71.51,10406000,17.88
"2008-05-30",71.54,74.7,71.54,72.31,18095200,18.08
"2008-06-02",72,72.33,70.52,71.29,5719200,17.82
"2008-06-03",71.55,72.48,70.68,72.19,6004800,18.05
"2008-06-04",72.24,72.99,71.92,72.55,7169200,18.14
"2008-06-05",72.62,74,71.12,73.92,6589200,18.48
"2008-06-06",73.23,73.33,70.94,71.02,4429200,17.75
"2008-06-09",71.18,71.85,68.77,69.7,4448400,17.42
"2008-06-10",69.88,71.54,69.77,71.34,5864400,17.83
"2008-06-11",71.67,71.67,68.51,69.44,6658000,17.36
"2008-06-12",69.93,70.41,69.65,70.21,4801600,17.55
"2008-06-13",71.89,73.58,71.5,72.79,6442800,18.2
"2008-06-16",72.77,73.48,72.05,72.82,4144400,18.2
"2008-06-17",72.85,73.4,71.58,72.05,2916800,18.01
"2008-06-18",71.95,72.83,70.55,71.03,3737200,17.76
"2008-06-19",70.93,75.08,70.85,73.55,7182400,18.39
"2008-06-20",73.5,74.78,72.15,73.1,5079600,18.27
"2008-06-23",73.31,75.21,72.64,74.43,5286800,18.61
"2008-06-24",74.34,74.34,70.6,70.86,8974800,17.72
"2008-06-25",71.34,71.77,70.1,70.75,5682800,17.69
"2008-06-26",69.84,69.9,66.56,67.13,10817600,16.78
"2008-06-27",66.86,68.91,66.51,68.62,7128400,17.16
"2008-06-30",69.83,69.87,68.08,68.23,5105200,17.06
"2008-07-01",67.38,70.86,66.2,70.12,7631600,17.53
"2008-07-02",70.88,72.37,69.8,69.9,6079200,17.48
"2008-07-03",70.5,70.5,65.87,67.53,4197600,16.88
"2008-07-07",67.61,68.86,65.63,67.14,4341200,16.78
"2008-07-08",66.02,67.36,63.15,66.82,8998800,16.7
"2008-07-09",66.76,68.17,64.99,65.22,4672400,16.31
"2008-07-10",65.54,67.05,64.25,64.9,6382400,16.23
"2008-07-11",63.71,64.89,61.66,63.28,6191200,15.82
"2008-07-14",63.8,64.97,62.2,62.37,4951200,15.59
"2008-07-15",61.31,63.97,60.07,63.39,8459600,15.85
"2008-07-16",62.89,67.23,62.89,67,10014800,16.75
